Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,71,77,105,117,122,103,113,126,116,95,91,Upgrade
Market Cap Growth,-,-26.83%,-10.37%,-4.10%,18.50%,-8.91%,-10.28%,9.04%,21.95%,4.62%,-4.20%,Upgrade
Enterprise Value,174,194,156,296,216,190,268,226,183,145,217,Upgrade
PE Ratio,8.23,7.98,14.00,16.89,20.68,15.44,30.53,18.71,15.23,12.72,12.67,Upgrade
PS Ratio,1.59,1.68,2.37,2.78,3.51,2.93,3.14,3.62,3.24,2.66,2.69,Upgrade
PB Ratio,1.74,1.97,0.99,0.98,1.08,1.23,1.28,1.48,1.34,1.16,1.37,Upgrade
P/FCF Ratio,7.10,6.58,6.82,9.64,9.80,8.52,14.67,13.86,11.62,12.02,8.33,Upgrade
P/OCF Ratio,5.91,5.58,6.00,8.34,9.04,8.46,10.65,12.50,11.11,9.78,8.08,Upgrade
EV/Sales Ratio,3.86,4.24,3.53,7.03,6.21,5.41,7.43,6.49,5.12,4.08,6.46,Upgrade
EV/EBITDA Ratio,14.91,15.17,15.49,30.19,26.49,22.55,30.48,24.23,16.44,13.88,21.60,Upgrade
EV/EBIT Ratio,16.74,16.85,17.53,34.09,29.82,25.37,34.41,27.07,18.14,15.66,24.36,Upgrade
EV/FCF Ratio,17.24,16.61,10.17,24.37,17.37,15.74,34.71,24.86,18.36,18.43,19.98,Upgrade
Debt / Equity Ratio,2.88,3.73,1.23,1.85,1.51,1.29,1.97,2.00,1.44,1.64,2.16,Upgrade
Debt / EBITDA Ratio,10.16,11.39,12.95,22.57,20.86,12.80,19.82,18.25,11.19,12.84,14.26,Upgrade
Debt / FCF Ratio,11.75,12.48,8.50,18.21,13.68,8.93,22.57,18.73,12.50,17.05,13.19,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),25.20%,24.00%,7.00%,5.80%,5.90%,8.20%,4.10%,7.40%,9.00%,9.50%,9.60%,Upgrade
Return on Assets (ROA),0.70%,0.70%,0.50%,0.50%,0.50%,0.70%,0.40%,0.70%,0.80%,0.80%,0.80%,Upgrade
Return on Capital (ROIC),0.70%,0.80%,0.60%,0.60%,0.60%,0.70%,0.70%,0.80%,1.00%,1.00%,0.90%,Upgrade
Earnings Yield,12.20%,12.53%,7.14%,5.92%,4.84%,6.48%,3.28%,5.35%,6.57%,7.86%,7.89%,Upgrade
FCF Yield,14.08%,15.19%,14.66%,10.38%,10.20%,11.74%,6.82%,7.21%,8.61%,8.32%,12.00%,Upgrade
Dividend Yield,7.60%,6.99%,6.39%,4.58%,3.98%,4.57%,4.16%,3.71%,3.92%,1.18%,3.55%,Upgrade
Payout Ratio,61.90%,55.80%,89.60%,77.40%,82.10%,70.60%,126.30%,69.60%,59.60%,15.00%,44.90%,Upgrade
Buyback Yield / Dilution,-0.36%,-0.15%,-0.08%,-10.14%,-3.41%,-0.07%,-0.41%,-0.03%,-0.07%,-0.02%,-0.08%,Upgrade
Total Shareholder Return,7.16%,6.85%,6.31%,-5.57%,0.58%,4.50%,3.74%,3.68%,3.85%,1.16%,3.47%,Upgrade
