Year,Current,2022,2021,2020
Market Capitalization,43,60,-,-
Enterprise Value,39,28,-41,-35
PE Ratio,21.67,135.89,-,-
PS Ratio,4.48,6.77,-,-
PB Ratio,0.57,0.81,-,-
P/FCF Ratio,23.28,34.24,-,-
P/OCF Ratio,19.68,31.88,-,-
EV/Sales Ratio,4.03,3.20,-5.10,-4.20
EV/EBITDA Ratio,13.32,23.16,-17.32,-13.12
EV/EBIT Ratio,17.65,72.81,-24.87,-17.30
EV/FCF Ratio,20.93,16.19,-22.61,-21.53
Debt / Equity Ratio,0.01,-,0.02,0.08
Debt / EBITDA Ratio,0.34,-,0.39,1.41
Debt / FCF Ratio,0.53,-,0.51,2.31
Asset Turnover,0.03,0.03,0.02,-
Return on Equity (ROE),2.50%,0.70%,2.90%,-
Return on Assets (ROA),0.50%,0.10%,0.40%,-
Return on Capital (ROIC),0.60%,0.10%,0.50%,-
Earnings Yield,4.41%,0.74%,-,-
FCF Yield,4.30%,2.92%,-,-
Buyback Yield / Dilution,-14.55%,10.44%,-,-
Total Shareholder Return,-14.55%,10.44%,-,-
