Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,"23,450","24,371","44,195","34,280","28,471","22,217","25,426","18,321","17,951","22,271","21,856",Upgrade
Market Cap Growth,-,-44.86%,28.93%,20.40%,28.15%,-12.62%,38.78%,2.06%,-19.40%,1.90%,31.70%,Upgrade
Enterprise Value,"21,602","22,945","42,921","32,282","26,836","20,792","23,523","17,116","16,779","20,765","20,458",Upgrade
PE Ratio,17.04,15.64,14.34,14.45,13.36,12.09,16.98,15.08,14.68,18.11,20.86,Upgrade
PS Ratio,3.79,3.76,5.76,5.52,5.07,4.14,5.24,4.28,4.27,5.59,6.27,Upgrade
PB Ratio,2.58,2.76,4.90,4.45,4.01,3.63,4.37,3.66,3.77,4.13,4.54,Upgrade
P/FCF Ratio,15.33,11.49,13.76,20.11,21.60,15.31,585.84,825.26,13.02,18.29,19.39,Upgrade
P/OCF Ratio,13.22,10.33,12.80,17.86,18.70,13.72,110.79,107.45,11.73,16.57,17.72,Upgrade
EV/Sales Ratio,3.51,3.54,5.59,5.20,4.78,3.87,4.85,3.99,3.99,5.21,5.87,Upgrade
EV/EBITDA Ratio,10.03,10.05,10.26,9.84,8.94,7.96,9.17,8.33,7.88,9.82,11.42,Upgrade
EV/EBIT Ratio,11.23,11.16,10.79,10.44,9.55,8.47,9.71,8.91,8.38,10.37,12.03,Upgrade
EV/FCF Ratio,14.17,10.81,13.36,18.94,20.36,14.33,542.00,770.99,12.17,17.05,18.15,Upgrade
Debt / Equity Ratio,0.04,0.04,0.03,0.02,0.02,-,-,-,-,-,-,Upgrade
Debt / EBITDA Ratio,0.15,0.14,0.06,0.05,0.05,-,-,-,-,-,-,Upgrade
Debt / FCF Ratio,0.21,0.16,0.08,0.09,0.11,-,-,-,-,-,-,Upgrade
Asset Turnover,0.52,0.54,0.67,0.64,0.62,0.68,0.70,0.67,0.77,0.71,0.71,Upgrade
Return on Equity (ROE),15.80%,17.40%,37.20%,33.90%,31.80%,29.90%,27.80%,25.00%,25.20%,23.50%,23.60%,Upgrade
Return on Assets (ROA),11.90%,13.00%,26.80%,24.40%,23.60%,23.40%,21.60%,18.90%,22.50%,21.80%,21.40%,Upgrade
Return on Capital (ROIC),28.60%,30.70%,53.40%,42.80%,42.30%,44.30%,53.30%,43.00%,58.60%,60.30%,61.40%,Upgrade
Earnings Yield,6.04%,6.39%,6.98%,6.92%,7.49%,8.27%,5.89%,6.63%,6.81%,5.52%,4.79%,Upgrade
FCF Yield,6.52%,8.71%,7.27%,4.97%,4.63%,6.53%,0.17%,0.12%,7.68%,5.47%,5.16%,Upgrade
Dividend Yield,4.61%,4.40%,3.72%,2.38%,2.50%,3.03%,2.17%,2.87%,5.71%,2.05%,1.81%,Upgrade
Payout Ratio,78.60%,71.30%,55.20%,35.70%,34.50%,37.80%,37.60%,44.50%,86.10%,37.60%,37.80%,Upgrade
Buyback Yield / Dilution,1.62%,0.57%,0.74%,3.10%,2.90%,0.68%,0.46%,3.05%,3.20%,0.58%,-2.37%,Upgrade
Total Shareholder Return,6.25%,4.97%,4.47%,5.48%,5.39%,3.72%,2.63%,5.92%,8.90%,2.63%,-0.56%,Upgrade
