Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"1,512","2,449","2,259","2,030","2,316","1,702","2,067","1,536",963,821,655,Upgrade
Market Cap Growth,-,8.41%,11.27%,-12.37%,36.12%,-17.67%,34.53%,59.58%,17.31%,25.30%,53.93%,Upgrade
Enterprise Value,"2,188","3,514","2,252","2,130","2,754","2,197","2,711","2,078","1,397","1,067","1,014",Upgrade
PE Ratio,6.38,11.10,10.99,13.66,14.09,10.69,21.52,18.96,14.73,13.64,15.54,Upgrade
PS Ratio,2.32,4.01,4.34,4.68,5.26,4.17,6.09,5.37,3.62,3.33,3.22,Upgrade
PB Ratio,0.71,1.20,1.18,1.08,1.30,1.21,1.59,1.70,1.13,1.13,1.03,Upgrade
P/FCF Ratio,5.11,9.14,10.89,9.96,13.11,9.44,16.34,14.81,16.99,10.82,3.58,Upgrade
P/OCF Ratio,5.11,9.14,10.89,9.96,13.11,9.44,16.34,14.81,16.99,10.82,3.58,Upgrade
EV/Sales Ratio,3.35,5.75,4.33,4.91,6.25,5.38,7.99,7.27,5.25,4.33,4.98,Upgrade
EV/EBITDA Ratio,7.61,13.14,8.95,11.77,13.55,11.15,19.15,17.94,14.35,12.08,15.58,Upgrade
EV/EBIT Ratio,7.95,13.74,9.35,12.53,14.21,11.68,20.30,19.13,15.34,12.96,16.78,Upgrade
EV/FCF Ratio,7.40,13.11,10.86,10.45,15.58,12.19,21.43,20.04,24.65,14.06,5.54,Upgrade
Debt / Equity Ratio,0.54,0.65,0.33,0.37,0.41,0.48,0.64,0.77,0.67,0.57,0.82,Upgrade
Debt / EBITDA Ratio,4.02,4.91,2.52,3.78,3.61,3.41,5.89,5.99,5.84,4.67,8.04,Upgrade
Debt / FCF Ratio,3.90,4.90,3.06,3.36,4.15,3.72,6.60,6.69,10.03,5.43,2.86,Upgrade
Asset Turnover,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),11.70%,11.40%,11.00%,8.10%,10.10%,11.70%,8.40%,9.10%,8.40%,8.80%,7.60%,Upgrade
Return on Assets (ROA),1.30%,1.30%,1.40%,1.10%,1.40%,1.60%,1.10%,1.20%,1.00%,1.10%,0.90%,Upgrade
Return on Capital (ROIC),1.50%,1.50%,1.70%,1.30%,1.70%,1.90%,1.60%,1.50%,1.40%,1.40%,1.30%,Upgrade
Earnings Yield,15.59%,9.01%,9.10%,7.32%,7.10%,9.35%,4.65%,5.28%,6.79%,7.33%,6.44%,Upgrade
FCF Yield,19.55%,10.95%,9.18%,10.04%,7.63%,10.59%,6.12%,6.75%,5.89%,9.24%,27.96%,Upgrade
Dividend Yield,5.05%,3.04%,2.70%,2.78%,3.65%,2.45%,1.64%,1.43%,1.61%,1.27%,0.79%,Upgrade
Payout Ratio,32.10%,32.60%,29.60%,37.80%,47.50%,26.00%,32.40%,27.10%,23.70%,17.50%,12.70%,Upgrade
Buyback Yield / Dilution,-10.86%,-10.47%,0.63%,2.58%,-12.16%,-1.05%,-20.43%,-7.74%,-4.99%,-25.15%,-0.53%,Upgrade
Total Shareholder Return,-5.81%,-7.43%,3.33%,5.36%,-8.50%,1.40%,-18.79%,-6.31%,-3.38%,-23.87%,0.26%,Upgrade
