Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2005
Market Capitalization,"2,469","2,741","3,253","1,887","2,396","2,438","2,923","2,787","2,644","3,638","2,627",Upgrade
Market Cap Growth,-,-15.74%,72.37%,-21.24%,-1.69%,-16.60%,4.86%,5.41%,-27.31%,38.48%,89.04%,Upgrade
Enterprise Value,"4,834","5,443","5,423","3,981","4,672","4,666","5,247","5,136","5,518","6,277","4,107",Upgrade
PE Ratio,-12.92,4.92,3.38,-116.33,16.59,8.13,11.56,26.97,7.64,11.40,11.90,Upgrade
PS Ratio,3.00,3.86,5.15,3.03,3.41,3.71,4.17,3.52,3.34,5.11,4.56,Upgrade
PB Ratio,0.64,0.67,0.83,0.62,0.73,0.72,0.87,0.81,0.71,1.00,0.99,Upgrade
P/FCF Ratio,-9.06,-3.45,104.88,4.40,10.71,6.60,7.77,3.23,58.16,-2.11,-1.47,Upgrade
P/OCF Ratio,-9.06,-3.45,104.88,4.40,10.71,6.60,7.77,3.23,58.16,-2.11,-1.47,Upgrade
EV/Sales Ratio,5.93,7.66,8.58,6.38,6.64,7.09,7.48,6.49,6.98,8.81,7.13,Upgrade
EV/EBITDA Ratio,-304.12,7.78,4.95,30.12,15.48,10.26,12.56,18.95,10.67,13.98,13.82,Upgrade
EV/EBIT Ratio,-304.12,7.78,4.95,30.12,15.48,10.26,12.56,18.95,10.67,13.98,13.82,Upgrade
EV/FCF Ratio,-16.85,-6.84,174.82,9.27,20.87,12.64,13.95,5.96,121.37,-3.64,-2.30,Upgrade
Debt / Equity Ratio,0.65,0.66,0.57,0.70,0.72,0.68,0.79,0.78,0.81,0.77,0.63,Upgrade
Debt / EBITDA Ratio,-144.39,3.91,2.04,16.18,7.90,5.08,6.32,9.84,5.77,6.17,5.66,Upgrade
Debt / FCF Ratio,-8.00,-3.44,71.99,4.98,10.65,6.26,7.02,3.09,65.63,-1.61,-0.94,Upgrade
Asset Turnover,0.11,0.10,0.11,0.12,0.12,0.11,0.11,0.13,0.12,0.13,0.15,Upgrade
Return on Equity (ROE),-5.40%,13.50%,26.90%,-0.50%,4.30%,9.00%,7.40%,3.00%,9.40%,9.60%,9.40%,Upgrade
Return on Assets (ROA),-2.80%,7.70%,16.40%,-0.30%,2.40%,5.10%,4.10%,1.60%,5.10%,5.60%,5.90%,Upgrade
Return on Capital (ROIC),-0.20%,7.30%,13.70%,1.80%,3.60%,5.60%,4.80%,3.00%,5.40%,5.70%,6.00%,Upgrade
Earnings Yield,-8.80%,20.31%,29.57%,-0.86%,6.03%,12.30%,8.65%,3.71%,13.10%,8.77%,8.41%,Upgrade
FCF Yield,-12.55%,-29.01%,0.95%,22.75%,9.34%,15.14%,12.87%,30.92%,1.72%,-47.42%,-67.99%,Upgrade
Dividend Yield,11.67%,11.39%,8.54%,14.04%,11.00%,11.43%,12.32%,12.77%,16.16%,12.46%,9.28%,Upgrade
Payout Ratio,-133.30%,50.30%,28.70%,-1800.00%,184.60%,92.40%,142.90%,344.50%,121.50%,124.90%,110.00%,Upgrade
Buyback Yield / Dilution,7.64%,-12.39%,-4.86%,-0.58%,-0.75%,-0.92%,-0.98%,0.66%,-4.79%,-65.35%,-81.01%,Upgrade
Total Shareholder Return,19.43%,-1.00%,3.69%,13.47%,10.25%,10.51%,11.33%,13.43%,11.37%,-52.89%,-71.74%,Upgrade
