Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2010
Market Capitalization,"33,790","27,906","30,376","42,254","59,913","60,181","68,548","48,205","22,260","74,256","63,136",Upgrade
Market Cap Growth,-,-8.13%,-28.11%,-29.47%,-0.45%,-12.21%,42.20%,116.56%,-70.02%,17.61%,-27.87%,Upgrade
Enterprise Value,"38,902","33,018","37,133","47,513","65,691","63,352","59,015","42,080","16,736","63,138","49,767",Upgrade
PE Ratio,9.76,7.04,7.30,13.87,11.40,14.08,13.28,8.77,4.85,12.91,12.03,Upgrade
PS Ratio,2.18,1.80,2.22,3.83,3.24,3.60,3.32,1.63,1.32,2.91,2.58,Upgrade
PB Ratio,1.13,0.93,1.13,1.51,1.77,1.88,1.93,1.49,0.97,2.41,2.07,Upgrade
P/FCF Ratio,4.48,3.70,-1.65,1.55,-11.27,-27.39,6.66,3.04,-1.39,2.49,1.53,Upgrade
P/OCF Ratio,4.28,3.53,-1.66,1.54,-12.32,-35.94,6.38,2.91,-1.43,2.45,1.51,Upgrade
EV/Sales Ratio,2.51,2.13,2.71,4.30,3.55,3.78,2.85,1.42,0.99,2.47,2.03,Upgrade
EV/EBITDA Ratio,6.94,5.89,5.38,25.21,13.76,10.21,6.96,3.86,5.31,7.59,6.92,Upgrade
EV/EBIT Ratio,8.58,7.28,6.34,63.71,19.86,12.75,8.31,4.31,6.96,8.74,8.26,Upgrade
EV/FCF Ratio,5.15,4.38,-2.02,1.75,-12.36,-28.83,5.73,2.65,-1.04,2.11,1.21,Upgrade
Debt / Equity Ratio,0.95,0.95,0.98,0.93,0.98,0.96,0.43,0.50,0.55,0.44,0.50,Upgrade
Debt / EBITDA Ratio,5.05,5.05,3.81,13.77,6.95,4.96,1.79,1.48,4.04,1.62,2.11,Upgrade
Debt / FCF Ratio,3.75,3.75,-1.43,0.95,-6.24,-14.02,1.47,1.02,-0.79,0.45,0.37,Upgrade
Asset Turnover,0.05,0.05,0.05,0.04,0.06,0.05,0.06,0.09,0.07,0.08,0.07,Upgrade
Return on Equity (ROE),13.60%,13.60%,15.70%,11.30%,16.20%,13.70%,15.30%,18.30%,21.00%,19.90%,17.30%,Upgrade
Return on Assets (ROA),1.20%,1.20%,1.40%,1.10%,1.60%,1.30%,1.40%,1.60%,1.90%,1.70%,1.50%,Upgrade
Return on Capital (ROIC),1.40%,1.40%,2.00%,0.30%,1.00%,1.60%,2.00%,3.00%,1.00%,2.30%,1.80%,Upgrade
Earnings Yield,11.74%,14.21%,13.70%,7.21%,8.77%,7.10%,7.53%,11.40%,20.63%,7.74%,8.32%,Upgrade
FCF Yield,22.33%,27.04%,-60.65%,64.37%,-8.87%,-3.65%,15.02%,32.92%,-72.06%,40.20%,65.38%,Upgrade
Dividend Yield,2.64%,2.85%,5.69%,2.67%,5.50%,3.13%,3.62%,4.64%,9.75%,4.30%,3.27%,Upgrade
Payout Ratio,23.20%,23.20%,47.60%,42.80%,79.00%,50.80%,50.30%,39.10%,53.90%,58.20%,41.30%,Upgrade
Buyback Yield / Dilution,-9.67%,0.82%,-0.52%,-20.00%,8.33%,9.10%,-9.96%,-8.72%,16.67%,-10.22%,9.10%,Upgrade
Total Shareholder Return,-7.02%,3.67%,5.18%,-17.33%,13.83%,12.23%,-6.34%,-4.08%,26.42%,-5.92%,12.37%,Upgrade
