Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2006
Market Capitalization,190,187,143,137,160,150,158,102,84,82,66,Upgrade
Market Cap Growth,-,30.48%,4.95%,-14.51%,6.56%,-5.25%,55.83%,20.87%,2.40%,23.61%,12.66%,Upgrade
Enterprise Value,-194,-243,-635,-90,12,24,9,-89,-107,-62,-39,Upgrade
PE Ratio,6.34,8.17,8.78,9.98,12.79,13.00,17.40,13.25,17.12,11.52,11.41,Upgrade
PS Ratio,2.56,2.79,2.61,2.87,3.51,3.51,3.98,2.86,2.84,2.65,2.44,Upgrade
PB Ratio,1.38,1.48,1.00,1.05,1.42,1.51,1.74,1.23,1.07,1.09,1.03,Upgrade
P/FCF Ratio,6.17,8.45,14.04,7.81,10.10,11.72,20.84,10.98,28.99,14.01,9.38,Upgrade
P/OCF Ratio,5.94,8.02,12.82,7.10,9.28,10.38,16.84,10.25,19.49,11.08,8.83,Upgrade
EV/Sales Ratio,-2.53,-3.62,-11.57,-1.89,0.27,0.56,0.23,-2.52,-3.60,-2.01,-1.42,Upgrade
EV/EBITDA Ratio,-4.87,-7.87,-27.82,-4.75,0.69,1.44,0.55,-7.20,-13.05,-5.24,-3.98,Upgrade
EV/EBIT Ratio,-5.01,-8.17,-29.29,-5.08,0.73,1.55,0.60,-8.01,-15.31,-5.82,-4.52,Upgrade
EV/FCF Ratio,-6.09,-10.96,-62.20,-5.15,0.77,1.86,1.19,-9.65,-36.78,-10.63,-5.49,Upgrade
Asset Turnover,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),24.10%,19.00%,11.90%,11.20%,11.60%,12.10%,10.30%,9.40%,6.40%,9.90%,9.10%,Upgrade
Return on Assets (ROA),1.50%,1.20%,0.90%,1.00%,1.10%,1.10%,0.90%,0.80%,0.60%,1.00%,0.90%,Upgrade
Return on Capital (ROIC),2.50%,2.00%,1.80%,1.40%,1.70%,1.70%,1.80%,1.40%,1.10%,1.80%,1.60%,Upgrade
Earnings Yield,15.19%,12.24%,11.40%,10.02%,7.82%,7.69%,5.75%,7.55%,5.84%,8.68%,8.77%,Upgrade
FCF Yield,16.21%,11.83%,7.12%,12.81%,9.90%,8.53%,4.80%,9.11%,3.45%,7.14%,10.66%,Upgrade
Dividend Yield,1.35%,1.32%,1.67%,1.68%,1.39%,1.42%,1.28%,1.91%,2.02%,1.62%,-,Upgrade
Payout Ratio,8.50%,10.70%,14.40%,16.70%,17.50%,18.20%,22.10%,25.30%,34.40%,18.30%,0.00%,Upgrade
Buyback Yield / Dilution,-0.52%,-0.24%,-0.25%,-0.10%,-0.21%,-1.17%,-0.09%,-0.16%,-0.04%,-1.83%,-0.28%,Upgrade
Total Shareholder Return,0.83%,1.09%,1.42%,1.58%,1.18%,0.25%,1.19%,1.75%,1.98%,-0.21%,-0.28%,Upgrade
