Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"43,964","64,797","83,289","70,185","92,603","73,855","88,916","87,312","74,637","80,433","73,783",Upgrade
Market Cap Growth,-,-22.20%,18.67%,-24.21%,25.38%,-16.94%,1.84%,16.98%,-7.21%,9.01%,22.85%,Upgrade
Enterprise Value,"75,656","82,300","98,305","60,668","134,088","107,881","118,321","118,893","123,445","131,932","112,963",Upgrade
PE Ratio,7.65,11.78,10.95,15.19,14.07,10.89,15.04,15.62,13.31,14.41,13.29,Upgrade
PS Ratio,1.87,2.92,3.49,3.61,4.33,3.49,4.38,4.45,3.94,4.30,4.09,Upgrade
PB Ratio,0.83,1.28,1.52,1.32,1.79,1.45,1.81,1.85,1.62,1.85,1.80,Upgrade
P/FCF Ratio,3.26,3.07,8.44,18.89,18.94,6.99,13.74,16.36,8.50,15.08,6.45,Upgrade
P/OCF Ratio,3.26,3.07,8.44,18.89,18.94,6.99,13.74,16.36,8.50,15.08,6.45,Upgrade
EV/Sales Ratio,3.22,3.71,4.11,3.12,6.27,5.10,5.83,6.06,6.51,7.05,6.26,Upgrade
EV/EBITDA Ratio,9.26,10.49,9.24,9.26,14.79,11.83,14.88,13.96,14.60,15.63,13.47,Upgrade
EV/EBIT Ratio,10.11,11.29,9.69,10.07,15.66,12.47,15.81,14.77,15.48,16.62,14.36,Upgrade
EV/FCF Ratio,5.61,3.90,9.96,16.33,27.43,10.21,18.28,22.28,14.06,24.74,9.87,Upgrade
Debt / Equity Ratio,1.87,1.40,0.80,1.00,1.23,1.09,1.00,1.00,1.30,1.43,1.16,Upgrade
Debt / EBITDA Ratio,12.10,9.05,4.13,8.10,7.05,6.09,6.15,5.55,7.09,7.36,5.68,Upgrade
Debt / FCF Ratio,7.34,3.36,4.45,14.28,13.07,5.25,7.56,8.86,6.83,11.66,4.16,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.05,0.05,0.05,Upgrade
Return on Equity (ROE),11.30%,11.10%,14.30%,8.80%,12.50%,13.60%,12.20%,11.80%,12.50%,13.00%,13.80%,Upgrade
Return on Assets (ROA),0.90%,0.90%,1.40%,0.80%,1.40%,1.50%,1.30%,1.30%,1.30%,1.40%,1.50%,Upgrade
Return on Capital (ROIC),1.20%,1.20%,1.80%,1.10%,1.70%,1.80%,1.60%,1.70%,1.80%,1.90%,2.00%,Upgrade
Earnings Yield,12.80%,8.49%,9.13%,6.58%,7.11%,9.19%,6.65%,6.40%,7.51%,6.94%,7.52%,Upgrade
FCF Yield,30.67%,32.59%,11.85%,5.29%,5.28%,14.30%,7.28%,6.11%,11.77%,6.63%,15.51%,Upgrade
Dividend Yield,6.63%,4.32%,3.15%,3.61%,2.70%,2.97%,2.20%,2.11%,2.40%,2.18%,2.22%,Upgrade
Payout Ratio,50.70%,50.90%,34.40%,54.90%,38.00%,32.30%,32.90%,32.90%,31.80%,31.10%,29.30%,Upgrade
Buyback Yield / Dilution,-3.10%,-,1.32%,4.61%,3.36%,2.67%,2.38%,2.71%,2.26%,1.95%,2.48%,Upgrade
Total Shareholder Return,3.53%,4.32%,4.47%,8.23%,6.06%,5.65%,4.57%,4.82%,4.66%,4.12%,4.70%,Upgrade
