Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2001
Market Capitalization,33,34,44,45,17,16,19,20,24,26,20,Upgrade
Market Cap Growth,-,-21.60%,-3.56%,168.07%,7.32%,-17.19%,-4.46%,-16.27%,-8.27%,31.87%,27.45%,Upgrade
Enterprise Value,39,36,43,36,2,20,21,16,26,21,17,Upgrade
PE Ratio,19.09,-38.98,2.78,61.14,-7.41,-40.06,-26.86,-16.61,15.90,5.73,6.87,Upgrade
PS Ratio,5.08,5.96,10.76,14.65,6.23,7.50,13.12,19.36,8.45,10.06,8.05,Upgrade
PB Ratio,0.56,0.60,0.72,0.99,0.32,0.50,0.60,0.61,0.71,0.80,0.70,Upgrade
P/FCF Ratio,-8.04,136.23,-11.13,-73.70,3.58,-5.45,-3.17,3.09,-3.23,9.47,-38.25,Upgrade
P/OCF Ratio,-8.04,136.23,-11.13,-73.70,3.58,-5.45,-3.17,3.09,-3.23,9.43,-38.82,Upgrade
EV/Sales Ratio,6.03,6.17,10.55,11.58,0.71,9.65,14.22,15.05,9.14,8.04,6.92,Upgrade
EV/EBITDA Ratio,16.64,-74.73,2.62,14.22,-0.79,-47.24,-58.92,-10.78,9.80,2.86,3.75,Upgrade
EV/EBIT Ratio,16.77,-72.81,2.65,14.44,-0.78,-44.19,-54.08,-10.54,9.92,2.88,3.79,Upgrade
EV/FCF Ratio,-9.46,140.91,-10.92,-58.24,0.41,-7.01,-3.44,2.40,-3.50,7.56,-32.89,Upgrade
Debt / Equity Ratio,0.13,0.04,-,0.23,0.20,0.27,0.25,0.24,0.23,0.25,0.25,Upgrade
Debt / EBITDA Ratio,3.38,-5.36,-,4.29,-4.39,-19.88,-22.38,-5.44,2.96,1.10,1.55,Upgrade
Debt / FCF Ratio,-1.84,10.10,-,-17.54,2.27,-2.95,-1.31,1.21,-1.06,2.91,-13.57,Upgrade
Asset Turnover,0.10,0.09,0.06,0.05,0.06,0.05,0.04,0.02,0.07,0.07,0.07,Upgrade
Return on Equity (ROE),2.90%,-1.50%,27.10%,1.50%,-6.40%,-1.30%,-2.20%,-3.60%,4.50%,15.50%,11.00%,Upgrade
Return on Assets (ROA),2.60%,-1.40%,22.30%,1.20%,-4.90%,-1.00%,-1.80%,-2.70%,3.50%,11.50%,8.40%,Upgrade
Return on Capital (ROIC),3.60%,-0.80%,23.70%,4.90%,-5.60%,-1.10%,-0.90%,-3.90%,5.80%,18.30%,13.30%,Upgrade
Earnings Yield,5.15%,-2.57%,36.02%,1.64%,-13.50%,-2.50%,-3.72%,-6.02%,6.29%,17.46%,14.57%,Upgrade
FCF Yield,-13.05%,0.73%,-8.99%,-1.36%,27.96%,-18.35%,-31.53%,32.32%,-30.96%,10.56%,-2.61%,Upgrade
Dividend Yield,6.88%,6.23%,2.59%,79.37%,-,-,-,-,-,-,-,Upgrade
Payout Ratio,131.30%,-244.10%,7.20%,4821.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,0.03%,-13.81%,-171.04%,-19.14%,-0.00%,0.06%,0.04%,0.98%,1.88%,3.80%,Upgrade,
Total Shareholder Return,6.88%,6.26%,-11.22%,-91.68%,-19.14%,-0.00%,0.06%,0.04%,0.98%,1.88%,3.80%,Upgrade
