Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,"4,078","2,889","4,340","3,111","2,047","1,721",-
Market Cap Growth,-,-33.43%,39.53%,51.97%,18.95%,-,-
Enterprise Value,"6,885","5,549","6,700","4,805","3,451","2,524",929
PE Ratio,72.10,31.48,416.83,110.91,-159.01,-2916.51,-
PS Ratio,1.88,1.35,2.41,2.29,1.68,1.89,-
PB Ratio,3.93,2.74,4.99,5.76,4.23,3.66,-
P/FCF Ratio,15.30,10.80,14.33,16.20,12.09,17.77,-
P/OCF Ratio,14.07,10.01,13.83,14.72,10.51,16.25,-
EV/Sales Ratio,3.18,2.59,3.73,3.53,2.83,2.77,1.40
EV/EBITDA Ratio,13.88,10.63,23.27,19.17,17.80,15.39,14.73
EV/EBIT Ratio,33.26,22.67,78.37,53.18,65.77,38.65,-116.15
EV/FCF Ratio,25.82,20.74,22.12,25.02,20.38,26.07,15.86
Debt / Equity Ratio,2.80,2.66,3.07,3.26,3.04,1.78,-1.26
Debt / EBITDA Ratio,5.86,5.36,9.28,7.02,7.58,5.10,15.55
Debt / FCF Ratio,10.90,10.46,8.82,9.17,8.68,8.64,16.74
Asset Turnover,0.44,0.45,0.47,0.48,0.48,0.57,-
Return on Equity (ROE),6.00%,9.00%,1.50%,5.30%,-2.70%,0.30%,-
Return on Assets (ROA),1.30%,1.90%,0.30%,1.00%,-0.50%,0.00%,-
Return on Capital (ROIC),5.60%,6.70%,2.80%,4.10%,2.80%,5.50%,-
Earnings Yield,1.52%,3.18%,0.24%,0.90%,-0.63%,-0.03%,-
FCF Yield,6.54%,9.26%,6.98%,6.17%,8.27%,5.63%,-
Buyback Yield / Dilution,-27.99%,-13.80%,-18.51%,-4.28%,-8.51%,-,-
Total Shareholder Return,-27.99%,-13.80%,-18.51%,-4.28%,-8.51%,-,-
