Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1998
Market Capitalization,181,247,282,185,253,172,211,186,148,140,133,Upgrade
Market Cap Growth,-,-12.43%,52.31%,-26.75%,47.36%,-18.51%,13.61%,25.65%,5.11%,5.99%,70.17%,Upgrade
Enterprise Value,289,342,131,170,447,262,358,267,233,211,170,Upgrade
PE Ratio,7.87,11.22,8.59,7.01,14.96,13.41,26.06,27.99,18.75,4.82,13.25,Upgrade
PS Ratio,1.44,2.02,2.46,1.74,2.61,2.37,3.36,3.31,2.73,2.47,2.50,Upgrade
PB Ratio,0.75,1.08,1.04,0.75,1.13,0.99,1.46,1.38,1.11,1.10,1.45,Upgrade
P/FCF Ratio,5.26,7.01,6.95,5.62,33.76,8.99,14.80,56.09,11.79,7.47,4.11,Upgrade
P/OCF Ratio,5.13,6.83,6.92,6.15,27.85,7.64,12.89,11.90,12.15,8.14,4.02,Upgrade
EV/Sales Ratio,2.33,2.79,1.14,1.59,4.61,3.62,5.71,4.77,4.31,3.71,3.21,Upgrade
EV/EBITDA Ratio,9.01,10.95,2.83,4.34,17.75,14.50,22.84,24.65,12.63,9.45,8.61,Upgrade
EV/EBIT Ratio,10.47,12.85,3.20,5.22,22.76,18.16,28.84,33.86,24.50,16.19,17.36,Upgrade
EV/FCF Ratio,8.49,9.69,3.22,5.14,59.62,13.73,25.17,80.80,18.60,11.20,5.27,Upgrade
Debt / Equity Ratio,0.87,0.68,0.21,0.44,1.12,1.03,1.23,0.83,0.85,0.80,0.82,Upgrade
Debt / EBITDA Ratio,6.49,4.98,1.24,2.80,9.92,9.92,11.30,10.33,6.16,4.56,3.80,Upgrade
Debt / FCF Ratio,6.12,4.40,1.41,3.32,33.32,9.39,12.46,33.87,9.07,5.40,2.33,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,Upgrade
Return on Equity (ROE),9.90%,9.40%,12.40%,11.60%,8.00%,8.40%,5.70%,4.80%,5.90%,27.00%,11.20%,Upgrade
Return on Assets (ROA),0.80%,0.80%,1.10%,1.00%,0.70%,0.70%,0.50%,0.50%,0.60%,2.50%,0.80%,Upgrade
Return on Capital (ROIC),0.90%,0.90%,1.50%,1.20%,0.80%,0.80%,0.80%,0.60%,0.70%,1.10%,0.80%,Upgrade
Earnings Yield,12.74%,8.91%,11.64%,14.27%,6.69%,7.45%,3.84%,3.57%,5.33%,20.74%,7.55%,Upgrade
FCF Yield,19.01%,14.27%,14.39%,17.78%,2.96%,11.12%,6.75%,1.78%,8.48%,13.39%,24.35%,Upgrade
Dividend Yield,4.64%,3.28%,2.94%,4.11%,2.65%,2.80%,1.66%,1.56%,1.23%,-,-,Upgrade
Payout Ratio,35.50%,36.40%,24.70%,28.10%,36.80%,33.30%,42.00%,42.70%,22.70%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,3.73%,4.72%,-0.03%,-0.12%,-18.63%,-12.99%,-0.79%,-0.07%,-0.16%,-1.94%,-0.33%,Upgrade
Total Shareholder Return,8.38%,8.00%,2.91%,3.99%,-15.98%,-10.19%,0.88%,1.49%,1.07%,-1.94%,-0.33%,Upgrade
