Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,212,272,213,215,245,207,206,137,106,106,98,Upgrade
Market Cap Growth,-,28.04%,-0.99%,-12.44%,18.48%,0.54%,50.49%,29.06%,0.03%,8.54%,0.07%,Upgrade
Enterprise Value,331,373,97,209,348,294,268,184,190,141,163,Upgrade
PE Ratio,7.57,9.31,8.53,14.23,17.24,15.15,25.10,20.37,17.93,13.83,11.53,Upgrade
PS Ratio,2.79,3.51,3.06,4.06,5.55,4.91,5.19,4.31,4.30,3.78,3.50,Upgrade
PB Ratio,1.20,1.63,1.03,1.10,1.78,1.69,1.78,1.23,1.05,1.07,1.06,Upgrade
P/FCF Ratio,7.22,9.52,7.56,16.44,14.37,12.59,13.78,12.58,10.38,10.24,7.93,Upgrade
P/OCF Ratio,6.73,8.85,7.28,15.56,13.29,11.96,12.82,12.02,10.09,10.06,7.69,Upgrade
EV/Sales Ratio,4.36,4.82,1.39,3.95,7.89,6.97,6.75,5.81,7.72,5.05,5.86,Upgrade
EV/EBITDA Ratio,9.15,9.84,2.98,10.54,19.43,17.06,16.91,19.52,23.22,12.91,13.73,Upgrade
EV/EBIT Ratio,9.56,10.26,3.13,11.36,20.71,18.13,18.14,21.45,25.24,13.78,14.63,Upgrade
EV/FCF Ratio,11.31,13.07,3.44,15.98,20.42,17.89,17.92,16.97,18.64,13.68,13.29,Upgrade
Debt / Equity Ratio,0.84,0.80,0.44,0.54,0.86,0.86,0.68,0.58,0.93,0.48,0.80,Upgrade
Debt / EBITDA Ratio,4.11,3.51,2.80,5.34,6.62,6.11,4.96,6.86,11.51,4.37,6.19,Upgrade
Debt / FCF Ratio,5.07,4.66,3.23,8.10,6.96,6.41,5.26,5.97,9.24,4.63,5.99,Upgrade
Asset Turnover,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.04,0.04,Upgrade
Return on Equity (ROE),16.50%,17.00%,12.40%,9.00%,10.70%,11.70%,7.10%,6.20%,5.90%,7.90%,9.20%,Upgrade
Return on Assets (ROA),1.40%,1.40%,1.20%,1.00%,1.20%,1.20%,0.70%,0.70%,0.80%,1.10%,1.20%,Upgrade
Return on Capital (ROIC),1.70%,1.80%,1.60%,1.20%,1.30%,1.30%,1.30%,0.90%,0.90%,1.40%,1.50%,Upgrade
Earnings Yield,13.17%,10.74%,11.72%,7.03%,5.80%,6.60%,3.98%,4.91%,5.58%,7.23%,8.68%,Upgrade
FCF Yield,13.84%,10.50%,13.22%,6.08%,6.96%,7.94%,7.26%,7.95%,9.64%,9.76%,12.60%,Upgrade
Dividend Yield,4.40%,3.35%,4.00%,3.82%,2.47%,2.67%,2.61%,3.74%,4.28%,4.13%,4.25%,Upgrade
Payout Ratio,32.90%,31.20%,34.10%,47.80%,42.30%,40.20%,65.20%,71.30%,76.60%,57.10%,49.10%,Upgrade
Buyback Yield / Dilution,0.27%,0.49%,0.30%,-30.16%,-0.51%,-0.54%,-0.75%,-11.96%,-1.07%,-0.50%,-0.61%,Upgrade
Total Shareholder Return,4.67%,3.84%,4.30%,-26.34%,1.96%,2.12%,1.85%,-8.22%,3.21%,3.63%,3.64%,Upgrade
