Year,Current,2022,2021,2020
Market Capitalization,"3,094",229,"1,215","4,387"
Market Cap Growth,-,-81.13%,-72.30%,-
Enterprise Value,"3,541",770,"1,827","4,644"
PE Ratio,-2.48,-1.54,-6.42,-99.11
PS Ratio,5.55,0.36,1.14,5.00
PB Ratio,11.46,0.85,3.44,11.53
P/FCF Ratio,175.99,4.84,-3.81,-34.08
P/OCF Ratio,112.26,3.77,-4.07,-38.41
EV/Sales Ratio,6.51,1.22,1.72,5.29
EV/EBITDA Ratio,120.28,38.24,-42.17,53.19
EV/EBIT Ratio,-10.79,-8.48,-11.72,-412.59
EV/FCF Ratio,206.38,16.25,-5.73,-36.07
Debt / Equity Ratio,2.10,2.07,1.97,1.05
Debt / EBITDA Ratio,18.81,27.67,-16.07,4.59
Debt / FCF Ratio,32.27,11.76,-2.18,-3.11
Current Ratio,1.79,1.56,1.98,3.08
Asset Turnover,0.31,0.34,0.51,0.47
Return on Equity (ROE),-48.00%,-45.70%,-42.90%,-7.10%
Return on Assets (ROA),-8.10%,-7.90%,-9.00%,-2.40%
Return on Capital (ROIC),-5.10%,-5.30%,-11.00%,-1.30%
Earnings Yield,-4.78%,-64.83%,-15.58%,-1.01%
FCF Yield,0.57%,20.66%,-26.23%,-2.93%
Buyback Yield / Dilution,-15.72%,-19.52%,-25.91%,-
Total Shareholder Return,-15.72%,-19.52%,-25.91%,-
