Year,Current,2022,2021,2020
Market Capitalization,173,334,323,-
Market Cap Growth,-,3.39%,-,-
Enterprise Value,174,335,323,0
PE Ratio,-1123.80,-1123.80,-252.58,-
PB Ratio,-85.44,-85.44,-342.91,-
P/FCF Ratio,-315.37,-315.37,-263.18,-
P/OCF Ratio,-315.37,-315.37,-263.18,-
EV/EBITDA Ratio,421.69,809.95,-252.76,-69.33
EV/EBIT Ratio,421.69,809.95,-252.76,-69.33
EV/FCF Ratio,-316.31,-316.31,-263.37,-1040.91
Debt / Equity Ratio,-0.26,-0.26,-0.25,4.44
Debt / EBITDA Ratio,2.45,2.45,-0.18,-94.18
Debt / FCF Ratio,-0.96,-0.96,-0.19,-1414.01
Current Ratio,0.01,0.01,0.41,1.10
Return on Equity (ROE),17.10%,17.10%,-56.80%,-
Return on Assets (ROA),-0.10%,-0.10%,-0.50%,-
Return on Capital (ROIC),0.20%,0.20%,-0.50%,-
Earnings Yield,-0.17%,-0.09%,-0.40%,-
FCF Yield,-0.61%,-0.32%,-0.38%,-
Buyback Yield / Dilution,-11.29%,-11.29%,-429.73%,-
Total Shareholder Return,-11.29%,-11.29%,-429.73%,-
