Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,408,393,396,391,226,211,-,-
Market Cap Growth,-,-0.68%,1.15%,72.90%,7.14%,-,-,-
Enterprise Value,222,271,154,258,34,-31,0,0
PE Ratio,4.68,4.60,9.06,14.37,9.61,4.84,-,-
PS Ratio,0.93,1.05,1.15,1.38,1.05,0.61,-,-
PB Ratio,0.88,0.96,0.99,1.03,0.73,0.53,-,-
P/FCF Ratio,-,-4.57,3.09,-4.31,10.79,1.65,-,-
P/OCF Ratio,-,-4.61,3.05,-4.32,10.58,1.63,-,-
EV/Sales Ratio,0.55,0.72,0.45,0.91,0.16,-0.09,0.00,-
EV/EBITDA Ratio,-,2.97,3.14,8.08,1.25,-0.63,0.02,-88.68
EV/EBIT Ratio,2.14,3.09,3.38,8.80,1.34,-0.68,0.03,-88.68
EV/FCF Ratio,-,-3.15,1.20,-2.84,1.62,-0.24,0.02,-48.44
Debt / Equity Ratio,-,-,-,-,-,-,35.45,7.57
Debt / EBITDA Ratio,-,-,-,-,-,-,0.02,-104.28
Debt / FCF Ratio,-,-,-,-,-,-,0.02,-56.96
Current Ratio,-,-,-,-,0.25,2.48,0.08,0.15
Asset Turnover,0.27,0.26,0.25,0.25,0.56,0.70,682.48,-
Return on Equity (ROE),24.50%,21.40%,11.20%,7.90%,28.80%,41.90%,50517.90%,-
Return on Assets (ROA),6.50%,5.80%,3.20%,2.40%,6.10%,8.80%,3270.40%,-
Return on Capital (ROIC),7.70%,6.80%,3.90%,3.00%,7.50%,10.50%,3802.00%,-
Earnings Yield,26.42%,21.73%,11.04%,6.96%,10.41%,20.68%,-,-
FCF Yield,-21.89%,32.40%,-23.23%,9.27%,60.72%,-,-,
Dividend Yield,0.58%,2.75%,4.07%,1.11%,-,-,-,-
Payout Ratio,10.60%,12.60%,37.10%,15.30%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,-0.22%,-0.56%,-0.90%,-754.97%,-8.85%,-38.82%,-,-
Total Shareholder Return,0.40%,2.19%,3.17%,-753.86%,-8.85%,-38.82%,-,-
