Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"5,082","6,980","7,236","4,815","6,193","4,798","6,043","5,473","4,049","4,163","4,562",Upgrade
Market Cap Growth,-,-3.54%,50.30%,-22.26%,29.07%,-20.60%,10.41%,35.19%,-2.75%,-8.75%,22.80%,Upgrade
Enterprise Value,"10,184","12,717","6,893","7,455","13,555","11,074","9,580","8,653","7,683","5,413","6,544",Upgrade
PE Ratio,8.28,13.42,11.71,11.07,12.37,10.77,18.06,23.52,14.03,14.24,14.41,Upgrade
PS Ratio,2.56,3.83,3.67,2.79,3.51,3.01,3.91,4.04,3.05,3.23,3.45,Upgrade
PB Ratio,1.04,1.49,1.35,0.91,1.27,1.08,1.73,1.67,1.25,1.26,1.51,Upgrade
P/FCF Ratio,1.46,1.41,-1.94,-9.94,-7.78,-7.90,25.37,-58.96,17.89,-58.90,6.05,Upgrade
P/OCF Ratio,1.39,1.36,-1.96,-11.57,-13.07,-8.69,28.12,-59.52,13.68,-113.65,6.20,Upgrade
EV/Sales Ratio,5.14,6.97,3.49,4.31,7.68,6.95,6.21,6.38,5.79,4.21,4.95,Upgrade
EV/EBITDA Ratio,11.34,16.57,7.66,11.25,18.66,17.70,16.76,22.41,16.49,11.44,12.28,Upgrade
EV/EBIT Ratio,12.90,19.26,8.64,13.22,21.48,19.61,18.52,25.52,17.95,12.40,13.64,Upgrade
EV/FCF Ratio,2.93,2.56,-1.85,-15.40,-17.04,-18.23,40.22,-93.21,33.95,-76.59,8.69,Upgrade
Debt / Equity Ratio,1.33,1.52,0.47,0.73,1.78,1.67,1.67,1.75,1.94,1.13,1.02,Upgrade
Debt / EBITDA Ratio,7.20,9.30,2.77,5.77,11.87,11.86,10.24,14.81,13.48,7.87,5.76,Upgrade
Debt / FCF Ratio,1.86,1.44,-0.67,-7.89,-10.83,-12.22,24.58,-61.59,27.74,-52.72,4.07,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.05,0.05,Upgrade
Return on Equity (ROE),13.20%,11.10%,11.60%,8.40%,10.60%,11.80%,9.70%,7.00%,8.70%,9.10%,10.60%,Upgrade
Return on Assets (ROA),1.40%,1.10%,1.30%,0.90%,1.20%,1.30%,1.00%,0.70%,0.90%,1.00%,1.20%,Upgrade
Return on Capital (ROIC),1.70%,1.40%,1.70%,1.10%,1.30%,1.40%,1.50%,0.90%,1.30%,1.50%,1.60%,Upgrade
Earnings Yield,12.20%,7.45%,8.54%,9.04%,8.09%,9.29%,5.54%,4.25%,7.13%,7.02%,6.94%,Upgrade
FCF Yield,68.40%,71.17%,-51.57%,-10.06%,-12.85%,-12.66%,3.94%,-1.70%,5.59%,-1.70%,16.52%,Upgrade
Dividend Yield,2.82%,2.05%,1.98%,2.97%,2.30%,2.64%,1.90%,2.06%,2.83%,2.67%,2.30%,Upgrade
Payout Ratio,23.20%,27.70%,23.40%,33.10%,28.60%,28.70%,34.60%,49.00%,40.00%,38.30%,33.40%,Upgrade
Buyback Yield / Dilution,2.19%,2.01%,1.79%,1.35%,-6.21%,-2.86%,0.52%,3.76%,1.24%,-0.50%,-0.35%,Upgrade
Total Shareholder Return,5.00%,4.07%,3.77%,4.33%,-3.91%,-0.22%,2.42%,5.82%,4.07%,2.17%,1.95%,Upgrade
