Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,248,339,272,218,268,276,207,189,129,131,108,Upgrade
Market Cap Growth,-,24.57%,25.00%,-18.68%,-3.20%,33.25%,9.52%,47.36%,-1.69%,20.93%,12.11%,Upgrade
Enterprise Value,213,237,-365,-86,256,354,304,279,221,238,222,Upgrade
PE Ratio,6.53,9.48,9.77,11.83,11.28,12.71,21.19,17.43,11.67,12.71,11.61,Upgrade
PS Ratio,2.22,3.22,2.89,2.59,3.48,3.87,3.43,3.81,2.68,2.87,2.47,Upgrade
PB Ratio,0.97,1.38,1.00,0.84,1.41,1.64,1.35,1.58,1.12,1.19,1.01,Upgrade
P/FCF Ratio,5.45,8.80,6.67,8.77,11.00,9.94,13.60,16.18,10.17,17.05,6.85,Upgrade
P/OCF Ratio,5.28,8.64,6.46,8.54,10.40,9.36,12.20,15.63,8.94,12.09,6.01,Upgrade
EV/Sales Ratio,1.91,2.25,-3.88,-1.03,3.33,4.95,5.03,5.61,4.61,5.21,5.06,Upgrade
EV/EBITDA Ratio,4.10,4.86,-9.49,-3.28,8.00,11.96,16.27,16.99,13.40,15.40,16.02,Upgrade
EV/EBIT Ratio,4.42,5.27,-10.42,-3.81,8.73,13.24,18.54,19.08,14.99,17.78,18.71,Upgrade
EV/FCF Ratio,4.69,6.15,-8.95,-3.48,10.54,12.72,19.96,23.86,17.52,31.00,14.06,Upgrade
Debt / Equity Ratio,0.31,0.27,0.27,0.37,0.54,0.70,0.85,0.91,0.97,1.15,1.23,Upgrade
Debt / EBITDA Ratio,1.53,1.36,1.90,3.62,3.22,4.00,7.03,6.62,6.76,8.21,9.52,Upgrade
Debt / FCF Ratio,1.75,1.72,1.80,3.84,4.24,4.25,8.62,9.30,8.84,16.52,8.35,Upgrade
Asset Turnover,0.04,0.04,0.03,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),15.60%,14.60%,10.40%,7.30%,13.00%,13.40%,7.10%,9.10%,9.70%,9.30%,9.00%,Upgrade
Return on Assets (ROA),1.50%,1.30%,1.00%,0.80%,1.40%,1.30%,0.70%,0.90%,1.00%,1.00%,0.90%,Upgrade
Return on Capital (ROIC),2.10%,1.90%,1.60%,1.00%,1.70%,1.60%,1.10%,1.20%,1.20%,1.20%,1.10%,Upgrade
Earnings Yield,15.41%,10.55%,10.23%,8.45%,8.87%,7.87%,4.72%,5.74%,8.57%,7.87%,8.62%,Upgrade
FCF Yield,18.33%,11.36%,14.99%,11.40%,9.09%,10.06%,7.35%,6.18%,9.83%,5.86%,14.59%,Upgrade
Dividend Yield,3.64%,2.66%,3.29%,4.00%,2.59%,2.27%,2.71%,2.56%,3.76%,3.54%,4.21%,Upgrade
Payout Ratio,24.30%,25.50%,32.30%,46.90%,29.20%,28.80%,53.30%,44.40%,43.70%,45.00%,48.70%,Upgrade
Buyback Yield / Dilution,1.89%,2.12%,0.09%,-23.02%,-0.46%,-0.32%,-15.82%,-0.44%,-0.39%,-0.41%,-0.44%,Upgrade
Total Shareholder Return,5.61%,4.79%,3.39%,-19.02%,2.13%,1.95%,-13.11%,2.12%,3.37%,3.13%,3.77%,Upgrade
