Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1997
Market Capitalization,"1,312,305","856,939","1,691,003","1,634,168","916,154","734,416","563,535","356,313","316,832","143,694","182,540",Upgrade
Market Cap Growth,-,-49.32%,3.48%,78.37%,24.75%,30.32%,58.16%,12.46%,120.49%,-21.28%,60.64%,Upgrade
Enterprise Value,"1,389,251","927,031","1,711,349","1,634,161","924,338","726,311","557,292","338,026","305,251","134,543","173,284",Upgrade
PE Ratio,311.95,-314.82,50.68,76.61,79.06,72.91,185.80,150.28,531.60,-596.24,666.20,Upgrade
PS Ratio,2.50,1.67,3.60,4.23,3.27,3.15,3.17,2.62,2.96,1.62,2.45,Upgrade
PB Ratio,8.49,5.87,12.23,17.50,14.76,16.86,20.34,18.48,23.67,13.38,18.73,Upgrade
P/FCF Ratio,-318.90,-74.07,-186.46,52.68,35.48,37.86,67.84,34.04,42.53,73.73,89.88,Upgrade
P/OCF Ratio,24.15,18.33,36.50,24.74,23.79,23.90,30.69,20.71,26.32,21.00,33.34,Upgrade
EV/Sales Ratio,2.65,1.80,3.64,4.23,3.30,3.12,3.13,2.49,2.85,1.51,2.33,Upgrade
EV/EBITDA Ratio,27.66,24.17,23.00,32.03,24.75,25.91,34.55,27.27,36.84,27.56,45.26,Upgrade
EV/EBIT Ratio,225.34,-259.53,42.82,63.24,59.40,57.25,119.85,78.98,152.24,989.29,300.84,Upgrade
EV/FCF Ratio,-342.09,-80.13,-188.70,52.68,35.79,37.44,67.09,32.30,40.97,69.03,85.32,Upgrade
Debt / Equity Ratio,0.91,0.96,0.84,0.90,1.02,0.76,0.89,0.40,0.61,0.77,0.33,Upgrade
Debt / EBITDA Ratio,2.81,3.65,1.56,1.65,1.69,1.18,1.53,0.62,0.99,1.69,0.83,Upgrade
Debt / FCF Ratio,-42.59,-12.11,-12.83,2.72,2.45,1.71,2.98,0.74,1.10,4.24,1.57,Upgrade
Quick Ratio,0.69,0.72,0.91,0.86,0.86,0.85,0.76,0.78,0.75,0.82,0.75,Upgrade
Current Ratio,0.92,0.95,1.14,1.05,1.10,1.10,1.04,1.05,1.05,1.12,1.07,Upgrade
Asset Turnover,1.18,1.19,1.26,1.43,1.41,1.64,1.71,1.94,1.92,2.10,2.29,Upgrade
Interest Coverage,2.27,-1.51,22.09,15.69,9.73,8.95,5.48,8.84,4.37,0.65,4.09,Upgrade
Return on Equity (ROE),3.00%,-2.00%,28.00%,27.10%,21.10%,27.00%,12.50%,13.90%,4.90%,-2.30%,3.00%,Upgrade
Return on Assets (ROA),1.00%,-0.60%,9.00%,7.90%,5.80%,7.10%,2.90%,3.40%,1.10%,-0.60%,0.80%,Upgrade
Return on Capital (ROIC),1.70%,-1.00%,13.20%,13.10%,10.80%,16.60%,9.30%,16.40%,9.20%,0.90%,5.40%,Upgrade
Earnings Yield,0.33%,-0.32%,1.97%,1.31%,1.26%,1.37%,0.54%,0.67%,0.19%,-0.17%,0.15%,Upgrade
FCF Yield,-0.25%,-1.35%,-0.54%,1.90%,2.82%,2.64%,1.47%,2.94%,2.35%,1.36%,1.11%,Upgrade
Buyback Yield / Dilution,-1.73%,1.04%,-0.96%,-1.17%,-0.80%,-1.42%,-1.86%,-1.47%,-3.25%,0.65%,-2.65%,Upgrade
Total Shareholder Return,-1.73%,1.04%,-0.96%,-1.17%,-0.80%,-1.42%,-1.86%,-1.47%,-3.25%,0.65%,-2.65%,Upgrade
