Year,Current,2022,2021,2020,2019,2018
Market Capitalization,"1,291","1,419","1,977",383,368,319
Market Cap Growth,-,-28.22%,416.46%,3.95%,15.26%,-
Enterprise Value,"1,622","1,737","2,271",520,737,322
PE Ratio,68.60,71.60,92.02,94.53,-,-
PS Ratio,2.91,3.18,3.72,0.89,0.88,0.84
PB Ratio,-56.08,-71.60,-76.89,-13.04,-1.17,63.89
P/FCF Ratio,7.51,6.58,11.01,5.72,3.99,2.75
P/OCF Ratio,7.48,6.55,11.06,5.61,3.83,2.73
EV/Sales Ratio,3.68,3.89,4.27,1.21,1.77,0.85
EV/EBITDA Ratio,29.34,28.73,40.14,12.43,19.22,8.14
EV/EBIT Ratio,35.07,32.93,43.21,16.24,26.32,11.54
EV/FCF Ratio,9.51,8.05,12.65,7.77,7.99,2.77
Debt / Equity Ratio,-15.52,-20.34,-15.19,-11.42,-1.42,0.55
Debt / EBITDA Ratio,7.27,6.67,6.90,8.01,11.70,0.07
Debt / FCF Ratio,2.35,1.87,2.17,5.01,4.86,0.02
Asset Turnover,0.87,0.87,0.93,1.20,1.34,2.72
Return on Equity (ROE),-67.40%,-103.60%,-82.00%,-112.90%,0.00%,0.00%
Return on Assets (ROA),2.70%,3.80%,3.70%,1.10%,0.00%,0.00%
Return on Capital (ROIC),5.80%,6.60%,7.10%,8.30%,7.10%,19.80%
Earnings Yield,1.08%,1.40%,1.09%,1.06%,-,-
FCF Yield,13.31%,15.20%,9.08%,17.47%,25.04%,36.36%
Dividend Yield,6.07%,5.45%,3.16%,-,-,-
Payout Ratio,100.00%,91.10%,67.30%,0.00%,-,-
Buyback Yield / Dilution,1.61%,0.26%,-2.63%,-11.53%,-11.97%,-412.29%
Total Shareholder Return,7.73%,5.71%,0.53%,-11.53%,-11.97%,-412.29%
