Year,Current,2022,2021,2020
Market Capitalization,54,507,"5,555",-
Market Cap Growth,-,-90.88%,-,-
Enterprise Value,49,498,"5,463",1
PE Ratio,-2.16,-2.16,135.42,-
PS Ratio,1.01,8.88,56.15,-
PB Ratio,4.21,36.89,20.65,-
P/FCF Ratio,-2.84,-2.84,-27.02,-
P/OCF Ratio,-5.95,-5.95,-149.78,-
EV/Sales Ratio,0.87,8.73,55.22,0.04
EV/EBITDA Ratio,-2.71,-2.71,77.42,0.09
EV/EBIT Ratio,-2.35,-2.35,98.94,0.43
EV/FCF Ratio,-2.79,-2.79,-26.57,0.49
Debt / Equity Ratio,0.88,0.88,0.12,0.30
Debt / EBITDA Ratio,-0.07,-0.07,0.45,0.97
Debt / FCF Ratio,-0.07,-0.07,-0.15,5.21
Current Ratio,1.13,1.13,2.85,2.01
Asset Turnover,0.25,0.25,0.46,0.66
Return on Equity (ROE),-182.20%,-182.20%,27.20%,6.40%
Return on Assets (ROA),-102.50%,-102.50%,19.20%,5.00%
Return on Capital (ROIC),-116.60%,-116.60%,30.40%,6.00%
Earnings Yield,-404.75%,-46.18%,0.74%,-
FCF Yield,-308.39%,-35.19%,-3.70%,-
Buyback Yield / Dilution,-22.88%,-2.70%,-50.55%,-13.92%
Total Shareholder Return,-22.88%,-2.70%,-50.55%,-13.92%
