Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,46,50,50,47,55,44,46,30,31,24,21,Upgrade
Market Cap Growth,-,0.50%,5.38%,-14.09%,23.70%,-3.72%,51.83%,-2.40%,31.21%,14.24%,42.57%,Upgrade
Enterprise Value,46,50,50,47,55,44,46,30,31,34,33,Upgrade
PE Ratio,10.63,12.74,13.85,11.22,13.27,5.42,30.64,14.62,20.80,15.24,3.77,Upgrade
PB Ratio,0.41,0.45,0.46,0.45,0.55,0.46,0.53,0.35,0.37,0.29,0.26,Upgrade
P/FCF Ratio,46060.93,12515.66,-16.72,6752.51,55020.43,1.84,16.59,8.81,113.78,7.04,17.95,Upgrade
P/OCF Ratio,46060.93,12515.66,-16.72,6752.51,55020.43,27.32,16.59,8.81,113.78,5.19,17.95,Upgrade
EV/EBITDA Ratio,8.35,10.06,10.94,8.86,10.53,4.28,14.72,9.50,10.54,10.59,3.40,Upgrade
EV/EBIT Ratio,8.35,10.06,10.94,8.86,10.53,4.28,14.72,9.50,10.54,10.59,3.40,Upgrade
EV/FCF Ratio,46054.93,12514.16,-16.71,6750.79,55015.43,1.84,16.59,8.81,113.77,10.08,28.61,Upgrade
Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,0.12,0.15,Upgrade
Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,3.19,1.27,Upgrade
Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,3.03,10.66,Upgrade
Return on Equity (ROE),3.90%,3.60%,3.40%,4.10%,4.20%,8.90%,1.70%,2.40%,1.80%,1.90%,7.10%,Upgrade
Return on Assets (ROA),3.90%,3.60%,3.40%,4.10%,4.20%,8.90%,1.70%,2.40%,1.60%,1.70%,5.20%,Upgrade
Return on Capital (ROIC),5.00%,4.50%,4.30%,5.20%,5.30%,11.30%,3.60%,3.70%,3.00%,3.10%,7.40%,Upgrade
Earnings Yield,9.45%,7.85%,7.22%,8.92%,7.53%,18.46%,3.26%,6.84%,4.81%,6.56%,26.53%,Upgrade
FCF Yield,0.00%,0.01%,-5.98%,0.01%,0.00%,54.36%,6.03%,11.35%,0.88%,14.20%,5.57%,Upgrade
Buyback Yield / Dilution,-,-,-,-0.00%,-,-,-,-,-,-,Upgrade,
Total Shareholder Return,-,-,-,-0.00%,-,-,-,-,-,-,Upgrade,
