Year,Current,2021
Market Capitalization,91,234
Enterprise Value,92,233
PE Ratio,-64.97,-124.14
PB Ratio,-8.33,-28.37
P/FCF Ratio,-67.09,-405.07
P/OCF Ratio,-67.09,-405.07
EV/EBITDA Ratio,-74.75,-124.02
EV/EBIT Ratio,-74.75,-124.02
EV/FCF Ratio,-68.26,-404.68
Debt / Equity Ratio,-0.16,-
Debt / EBITDA Ratio,-1.42,-
Debt / FCF Ratio,-1.29,-
Current Ratio,0.05,1.18
Return on Equity (ROE),14.30%,47.40%
Return on Assets (ROA),-1.10%,-1.60%
Return on Capital (ROIC),-1.00%,-1.60%
Earnings Yield,-1.51%,-0.81%
FCF Yield,-1.46%,-0.25%
Buyback Yield / Dilution,42.80%,-
Total Shareholder Return,42.80%,-
