Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,802,924,948,783,882,796,808,832,776,-,-
Market Cap Growth,-,-2.60%,21.08%,-11.14%,10.73%,-1.50%,-2.91%,7.27%,-,-,-
Enterprise Value,397,708,642,761,556,396,521,528,580,-275,-193
PE Ratio,-54.21,-18.89,16.02,41.63,22.50,-13.70,91.46,81.47,-6991.44,-,-
PS Ratio,52.32,60.67,45.33,41.27,39.70,34.95,30.03,26.66,33.98,-,-
PB Ratio,0.87,1.04,1.01,0.87,0.98,0.92,0.88,0.95,1.04,-,-
P/FCF Ratio,9.36,-13.09,3.98,-2.70,-18.18,10.34,-11.95,126.36,-16.39,-,-
P/OCF Ratio,9.36,-13.09,3.98,-2.80,-21.01,10.34,-11.95,126.36,-16.39,-,-
EV/Sales Ratio,26.30,46.51,30.70,40.11,25.04,17.39,19.35,16.92,25.39,-13.07,-9.47
EV/EBITDA Ratio,-18.29,-11.19,8.28,26.79,10.68,-5.72,78.20,35.94,-1108.84,-53.23,-4.62
EV/EBIT Ratio,-18.02,-11.13,8.32,26.84,10.69,-5.71,78.39,35.98,-1081.94,-53.38,-4.62
EV/FCF Ratio,4.70,-10.04,2.70,-2.62,-11.47,5.15,-7.70,80.20,-12.25,4.69,-4.74
Debt / Equity Ratio,0.00,0.00,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01
Debt / EBITDA Ratio,-0.16,-0.05,0.17,0.62,0.32,-0.14,0.86,0.68,-18.40,2.05,0.15
Debt / FCF Ratio,0.04,-0.04,0.05,-0.06,-0.34,0.12,-0.08,1.52,-0.20,-0.18,0.15
Asset Turnover,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.04,0.03,0.03,-
Return on Equity (ROE),-1.70%,-5.50%,6.40%,2.20%,4.40%,-6.50%,1.00%,1.20%,0.00%,0.60%,-
Return on Assets (ROA),-1.50%,-4.50%,4.70%,1.80%,3.90%,-5.90%,0.90%,1.20%,0.00%,0.40%,-
Return on Capital (ROIC),-3.40%,-8.20%,8.50%,3.20%,7.90%,-10.50%,1.00%,2.50%,-0.10%,1.20%,-
Earnings Yield,-1.89%,-5.29%,6.24%,2.40%,4.45%,-7.30%,1.09%,1.23%,-0.01%,-,-
FCF Yield,10.69%,-7.64%,25.11%,-37.09%,-5.50%,9.67%,-8.37%,0.79%,-6.10%,-,-
Dividend Yield,0.54%,0.48%,0.47%,0.57%,0.51%,0.58%,0.89%,0.30%,-,-,-
Payout Ratio,-29.40%,-9.00%,7.50%,23.80%,11.50%,-7.90%,81.10%,24.40%,-,0.00%,-
Buyback Yield / Dilution,0.38%,0.43%,1.11%,0.73%,2.32%,3.57%,4.97%,-0.02%,1.52%,-,-
Total Shareholder Return,0.93%,0.91%,1.58%,1.30%,2.83%,4.15%,5.85%,0.28%,1.52%,-,-
