Year,Current,2022,2021,2020
Market Capitalization,39,26,-,-
Enterprise Value,34,11,-1,-1
PE Ratio,-52.51,-52.51,-,-
PS Ratio,34.02,18.02,-,-
PB Ratio,2.79,1.48,-,-
P/FCF Ratio,-221.62,-221.62,-,-
P/OCF Ratio,-221.62,-221.62,-,-
EV/Sales Ratio,23.46,7.46,-0.37,-0.27
EV/EBITDA Ratio,-55.64,-55.64,-1.33,-0.69
EV/EBIT Ratio,-24.16,-24.16,-3.77,-1.19
EV/FCF Ratio,-91.82,-91.82,-9.17,1.38
Debt / Equity Ratio,0.03,0.03,0.99,0.61
Debt / EBITDA Ratio,-2.43,-2.43,1.16,0.30
Debt / FCF Ratio,-4.01,-4.01,8.05,-0.60
Current Ratio,20.92,20.92,1.20,1.07
Asset Turnover,0.13,0.13,0.80,-
Return on Equity (ROE),-5.40%,-5.40%,33.40%,-
Return on Assets (ROA),-4.50%,-4.50%,7.50%,-
Return on Capital (ROIC),-30.30%,-30.30%,239.70%,-
Earnings Yield,-1.01%,-1.90%,-,-
FCF Yield,-0.24%,-0.45%,-,-
Buyback Yield / Dilution,-13.84%,-,-,
Total Shareholder Return,-13.84%,-,-,
