Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2003
Market Capitalization,173,304,263,189,227,165,218,146,113,98,112,Upgrade
Market Cap Growth,-,15.62%,38.99%,-16.79%,37.35%,-24.09%,48.98%,29.76%,14.61%,-12.22%,39.21%,Upgrade
Enterprise Value,500,507,-28,171,-28,252,282,259,183,228,213,Upgrade
PE Ratio,3.98,6.79,7.95,9.67,11.54,10.47,23.27,20.70,18.45,14.49,12.65,Upgrade
PS Ratio,1.51,2.56,2.57,2.27,2.65,2.06,3.24,2.39,1.93,1.93,2.36,Upgrade
PB Ratio,0.59,1.04,0.96,0.76,0.95,0.83,1.24,1.12,0.84,0.96,1.12,Upgrade
P/FCF Ratio,3.93,7.53,5.68,1.30,10.45,4.30,11.40,125.69,27.45,35.80,7.81,Upgrade
P/OCF Ratio,3.88,7.43,5.73,1.36,9.36,4.13,10.36,20.20,14.66,21.88,6.99,Upgrade
EV/Sales Ratio,4.29,4.28,-0.27,2.04,-0.32,3.13,4.19,4.24,3.14,4.47,4.50,Upgrade
EV/EBITDA Ratio,8.24,7.96,-0.55,5.71,-0.92,10.46,13.25,18.69,13.51,17.13,11.88,Upgrade
EV/EBIT Ratio,8.29,8.04,-0.58,5.80,-0.92,10.39,13.94,19.56,15.45,18.07,13.36,Upgrade
EV/FCF Ratio,11.12,12.57,-0.60,1.17,-1.28,6.55,14.74,222.86,44.55,83.11,14.87,Upgrade
Debt / Equity Ratio,1.97,1.49,0.44,0.98,1.24,1.41,1.07,1.37,1.53,1.60,1.32,Upgrade
Debt / EBITDA Ratio,9.64,6.80,2.41,8.15,9.80,11.73,8.89,12.91,15.07,12.24,7.36,Upgrade
Debt / FCF Ratio,13.01,10.74,2.63,1.67,13.61,7.34,9.89,153.89,49.69,59.36,9.21,Upgrade
Asset Turnover,0.03,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),15.10%,16.00%,12.60%,8.00%,8.70%,8.20%,6.10%,5.40%,5.40%,6.60%,9.30%,Upgrade
Return on Assets (ROA),1.30%,1.40%,1.10%,0.70%,0.70%,0.60%,0.50%,0.40%,0.40%,0.50%,0.80%,Upgrade
Return on Capital (ROIC),1.70%,2.00%,1.80%,1.00%,1.10%,0.90%,1.10%,0.80%,0.70%,0.90%,1.30%,Upgrade
Earnings Yield,24.38%,14.74%,12.59%,10.34%,8.66%,9.56%,4.30%,4.83%,5.42%,6.90%,7.90%,Upgrade
FCF Yield,25.46%,13.29%,17.62%,76.88%,9.57%,23.25%,8.78%,0.80%,3.64%,2.79%,12.81%,Upgrade
Dividend Yield,6.20%,3.65%,3.94%,5.10%,4.05%,5.30%,3.21%,4.31%,4.41%,4.61%,3.60%,Upgrade
Payout Ratio,25.20%,24.20%,30.90%,49.10%,46.70%,54.90%,73.70%,88.90%,81.20%,66.70%,45.30%,Upgrade
Buyback Yield / Dilution,0.78%,-0.64%,-0.08%,-4.89%,-4.87%,-25.21%,-11.17%,-26.77%,-5.64%,0.01%,6.05%,Upgrade
Total Shareholder Return,7.11%,3.02%,3.86%,0.21%,-0.82%,-19.91%,-7.96%,-22.47%,-1.23%,4.62%,9.65%,Upgrade
