Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,"27,422","23,221","17,164","14,645","17,384","10,814","11,879","10,587","8,541","7,630","7,971",Upgrade
Market Cap Growth,-,35.29%,17.19%,-15.75%,60.75%,-8.97%,12.20%,23.96%,11.93%,-4.28%,32.61%,Upgrade
Enterprise Value,"29,676","25,091","19,029","16,756","19,013","12,357","13,822","12,233","9,309","8,036","8,437",Upgrade
PE Ratio,14.39,16.17,8.20,10.74,10.90,15.15,20.97,15.93,16.56,9.39,11.59,Upgrade
PS Ratio,2.56,2.42,1.86,1.72,2.51,1.98,2.11,2.37,2.17,1.91,2.26,Upgrade
PB Ratio,1.98,1.80,1.27,1.12,1.51,1.15,1.29,1.28,1.39,1.25,1.41,Upgrade
P/FCF Ratio,6.65,6.17,5.07,5.14,8.65,7.07,11.08,7.77,8.70,7.50,9.57,Upgrade
P/OCF Ratio,6.57,6.09,5.01,5.07,8.49,6.94,10.85,7.69,8.56,7.36,9.37,Upgrade
EV/Sales Ratio,2.74,2.61,2.06,1.97,2.75,2.27,2.46,2.74,2.36,2.01,2.39,Upgrade
EV/EBITDA Ratio,12.57,13.99,7.59,9.69,9.53,11.25,13.96,15.11,14.39,8.90,10.96,Upgrade
EV/EBIT Ratio,13.14,14.87,7.85,10.09,9.94,12.45,15.99,15.48,14.91,8.90,10.96,Upgrade
EV/FCF Ratio,7.11,6.67,5.62,5.89,9.46,8.08,12.89,8.98,9.48,7.90,10.12,Upgrade
Debt / Equity Ratio,0.19,0.21,0.20,0.23,0.20,0.23,0.28,0.30,0.21,0.15,0.16,Upgrade
Debt / EBITDA Ratio,1.16,1.52,1.09,1.74,1.18,1.99,2.57,3.07,2.04,0.99,1.17,Upgrade
Debt / FCF Ratio,0.65,0.72,0.80,1.06,1.17,1.43,2.38,1.83,1.35,0.88,1.08,Upgrade
Asset Turnover,0.23,0.21,0.21,0.21,0.20,0.17,0.18,0.17,0.17,0.18,0.19,Upgrade
Return on Equity (ROE),15.30%,11.50%,15.50%,11.20%,14.70%,7.70%,6.40%,9.30%,8.30%,13.40%,12.70%,Upgrade
Return on Assets (ROA),4.10%,3.10%,4.60%,3.30%,4.50%,2.20%,1.80%,2.60%,2.20%,3.70%,3.60%,Upgrade
Return on Capital (ROIC),4.60%,3.60%,5.30%,3.90%,5.20%,3.00%,2.70%,3.00%,2.60%,4.10%,4.00%,Upgrade
Earnings Yield,7.05%,6.19%,12.20%,9.31%,9.17%,6.60%,4.77%,6.28%,6.04%,10.65%,8.63%,Upgrade
FCF Yield,15.05%,16.21%,19.73%,19.44%,11.57%,14.14%,9.02%,12.87%,11.50%,13.33%,10.45%,Upgrade
Buyback Yield / Dilution,1.72%,5.68%,2.42%,0.33%,0.31%,1.17%,-11.66%,1.05%,6.58%,0.63%,1.79%,Upgrade
Total Shareholder Return,1.72%,5.68%,2.42%,0.33%,0.31%,1.17%,-11.66%,1.05%,6.58%,0.63%,1.79%,Upgrade
