Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,11,26,25,3,2,3,1,1,2,13,-,Upgrade
Market Cap Growth,-,5.12%,646.21%,47.78%,-20.59%,457.52%,1.60%,-75.00%,-84.00%,-,-,Upgrade
Enterprise Value,11,30,28,4,3,4,2,2,4,13,0,Upgrade
PE Ratio,2.85,7.44,16.88,5.50,3.86,21.60,-0.61,-0.60,-4.12,-446.67,-,Upgrade
PS Ratio,1.32,4.76,5.25,1.90,2.22,25.48,23.62,11.14,21.36,2671.51,-,Upgrade
PB Ratio,0.28,1.03,1.75,4.89,-2.60,-1.91,-0.20,-0.28,-2.11,-17.59,-,Upgrade
P/FCF Ratio,-1.39,-8.67,-7.63,-922.26,73.60,-56.47,-35.83,-23.01,-24.76,-620.29,-,Upgrade
P/OCF Ratio,-1.39,-8.67,-7.63,-922.26,73.60,-56.47,-35.83,-23.01,-24.76,-620.29,-,Upgrade
EV/Sales Ratio,1.46,5.43,5.86,2.49,3.30,35.63,109.84,51.87,40.54,2779.69,59.00,Upgrade
EV/EBITDA Ratio,3.38,7.12,12.74,9.83,5.51,19.74,-7.12,-6.82,-20.34,-1334.65,-63.96,Upgrade
EV/EBIT Ratio,3.45,7.12,12.74,9.83,5.51,19.74,-3.31,-3.22,-9.28,-1334.65,-63.96,Upgrade
EV/FCF Ratio,-1.64,-9.89,-8.51,-1210.74,109.37,-78.97,-166.62,-107.14,-46.99,-645.40,-28.39,Upgrade
Debt / Equity Ratio,0.08,0.16,0.38,1.56,-1.29,-0.77,-0.72,-1.03,-1.90,-0.71,-0.71,Upgrade
Debt / EBITDA Ratio,0.89,0.99,2.46,2.38,1.85,5.66,-5.60,-5.36,-9.65,-52.11,-64.37,Upgrade
Debt / FCF Ratio,-0.68,-1.38,-1.64,-293.34,36.60,-22.66,-131.02,-84.16,-22.30,-25.20,-28.57,Upgrade
Current Ratio,0.83,0.48,0.49,0.31,0.11,0.08,0.01,0.20,0.39,0.01,0.00,Upgrade
Asset Turnover,0.21,0.19,0.34,0.88,3.83,1.57,0.07,0.05,0.07,2.47,3.24,Upgrade
Return on Equity (ROE),8.20%,15.50%,21.20%,139.70%,-43.90%,-6.90%,37.20%,55.90%,72.90%,4.00%,3.90%,Upgrade
Return on Assets (ROA),7.00%,11.80%,10.60%,30.30%,220.10%,185.20%,-250.40%,-91.40%,-33.90%,-1474.40%,-1050.80%,Upgrade
Return on Capital (ROIC),18.70%,32.60%,56.10%,25.70%,78.70%,74.90%,217.00%,-35.50%,-21.70%,9.90%,3.60%,Upgrade
Earnings Yield,25.63%,13.44%,5.93%,18.20%,25.92%,4.63%,-163.02%,-167.17%,-24.28%,-0.22%,-,Upgrade
FCF Yield,-43.20%,-11.53%,-13.11%,-0.11%,1.36%,-1.77%,-2.79%,-4.35%,-4.04%,-0.16%,-,Upgrade
Buyback Yield / Dilution,-79.22%,-66.85%,-309.49%,-8.47%,-16.32%,-24.50%,-1.22%,-1.21%,-,-,-,Upgrade
Total Shareholder Return,-79.22%,-66.85%,-309.49%,-8.47%,-16.32%,-24.50%,-1.22%,-1.21%,-,-,-,Upgrade
