Year,Current,2022,2021,2020
Market Capitalization,278,934,921,"1,009"
Market Cap Growth,-,1.43%,-8.75%,-
Enterprise Value,278,933,920,"1,008"
PE Ratio,85.42,38.60,47.58,476.59
PB Ratio,-8.33,-29.41,-17.78,-14.18
P/FCF Ratio,-450.95,-1706.36,-1995.63,-8758.52
P/OCF Ratio,-450.95,-1706.36,-1995.63,-8758.52
EV/EBITDA Ratio,23.37,36.72,47.49,475.77
EV/EBIT Ratio,23.37,36.72,47.49,475.77
EV/FCF Ratio,-449.78,-1704.42,-1994.00,-8748.00
Debt / Equity Ratio,-0.01,-0.01,-,-
Debt / EBITDA Ratio,0.04,0.01,-,-
Debt / FCF Ratio,-0.68,-0.61,-,-
Current Ratio,0.53,0.67,2.76,8.93
Return on Equity (ROE),-35.00%,-75.40%,-75.80%,-
Return on Assets (ROA),2.50%,4.10%,2.60%,-
Return on Capital (ROIC),2.80%,4.40%,2.60%,-
Earnings Yield,3.84%,2.59%,2.10%,0.21%
FCF Yield,-0.22%,-0.06%,-0.05%,-0.01%
Buyback Yield / Dilution,71.10%,11.51%,-76.90%,-
Total Shareholder Return,71.10%,11.51%,-76.90%,-
