Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2000
Market Capitalization,585,958,"1,229",739,874,674,"1,044",863,553,328,250,Upgrade
Market Cap Growth,-,-22.04%,66.34%,-15.46%,29.67%,-35.40%,20.96%,56.07%,68.30%,31.64%,72.55%,Upgrade
Enterprise Value,"1,582","1,732","1,777","1,335","1,893","1,976","2,524","1,157","1,589",824,472,Upgrade
PE Ratio,6.64,8.28,24.31,-670.02,333.15,29.51,28.88,9.03,10.58,12.36,-109.97,Upgrade
PS Ratio,1.78,2.64,4.62,3.46,3.90,2.42,3.11,2.14,1.98,1.13,1.34,Upgrade
PB Ratio,0.61,1.00,1.15,0.82,0.96,0.71,1.03,0.88,0.85,0.65,0.77,Upgrade
P/FCF Ratio,4.39,7.26,11.94,10.59,12.53,5.70,1.90,-32.50,-7.31,-0.51,-0.51,Upgrade
P/OCF Ratio,4.12,7.04,11.63,9.87,10.89,5.48,1.85,47.63,-12.86,-0.52,-0.57,Upgrade
EV/Sales Ratio,4.82,4.77,6.67,6.25,8.43,7.08,7.53,2.86,5.68,2.84,2.54,Upgrade
EV/EBITDA Ratio,10.84,9.31,17.22,41.49,40.62,30.18,50.07,6.97,13.32,22.04,31.78,Upgrade
EV/EBIT Ratio,12.24,10.25,21.50,92.96,67.65,38.30,74.11,7.74,15.24,31.13,59.65,Upgrade
EV/FCF Ratio,11.87,13.12,17.26,19.13,27.13,16.72,4.59,-43.57,-21.01,-1.29,-0.96,Upgrade
Debt / Equity Ratio,2.09,1.04,0.73,0.91,1.53,1.79,1.85,0.75,1.83,1.44,1.02,Upgrade
Debt / EBITDA Ratio,13.75,5.39,7.52,25.38,29.87,25.86,37.05,4.42,9.99,19.44,22.39,Upgrade
Debt / FCF Ratio,15.06,7.59,7.53,11.71,19.95,14.33,3.39,-27.63,-15.76,-1.14,-0.68,Upgrade
Asset Turnover,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.06,0.06,Upgrade
Return on Equity (ROE),9.70%,12.10%,5.70%,-0.10%,0.30%,2.40%,3.60%,10.20%,8.60%,6.20%,-0.80%,Upgrade
Return on Assets (ROA),1.00%,1.20%,0.60%,0.00%,0.00%,0.20%,0.30%,0.90%,0.70%,0.60%,-0.10%,Upgrade
Return on Capital (ROIC),1.30%,1.70%,0.90%,0.20%,0.30%,0.40%,0.30%,1.30%,1.40%,0.50%,0.30%,Upgrade
Earnings Yield,15.84%,12.08%,4.11%,-0.15%,0.30%,3.39%,3.46%,11.07%,9.45%,8.09%,-0.91%,Upgrade
FCF Yield,22.78%,13.77%,8.37%,9.44%,7.98%,17.53%,52.74%,-3.08%,-13.68%,-194.58%,-196.56%,Upgrade
Dividend Yield,2.76%,1.51%,1.22%,1.63%,1.80%,3.91%,2.52%,2.82%,3.28%,4.18%,3.58%,Upgrade
Payout Ratio,18.20%,12.60%,25.30%,-1200.00%,620.00%,115.60%,72.20%,24.90%,35.30%,52.70%,-320.00%,Upgrade
Buyback Yield / Dilution,5.81%,3.99%,-24.72%,1.27%,-0.46%,-0.23%,-1.63%,-31.51%,-32.04%,-53.90%,-57.88%,Upgrade
Total Shareholder Return,8.57%,5.49%,-23.49%,2.90%,1.35%,3.68%,0.89%,-28.69%,-28.75%,-49.72%,-54.30%,Upgrade
