Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"3,929","4,821","6,551","4,745","5,683","4,739","3,622","4,548","2,936","3,523","2,969",Upgrade
Market Cap Growth,-,-26.41%,38.07%,-16.51%,19.94%,30.83%,-20.35%,54.91%,-16.67%,18.64%,38.52%,Upgrade
Enterprise Value,"-1,228",137,"-10,258","-6,041","3,328","1,711",-12,"3,350","2,818","4,314","5,333",Upgrade
PE Ratio,3.83,4.38,7.02,9.40,8.52,7.71,34.84,21.35,3.29,-11.11,4.99,Upgrade
PS Ratio,1.17,1.44,2.25,2.19,2.48,2.19,2.27,2.93,1.74,3.32,1.94,Upgrade
PB Ratio,0.88,1.18,1.10,0.79,0.95,0.87,0.71,0.88,0.57,0.83,0.64,Upgrade
P/FCF Ratio,4.58,5.23,6.87,7.35,8.77,6.11,6.21,9.00,4.73,4.21,3.75,Upgrade
P/OCF Ratio,4.05,4.75,6.52,6.99,8.06,5.59,5.69,7.62,4.38,4.04,3.62,Upgrade
EV/Sales Ratio,-0.31,0.04,-3.53,-2.79,1.45,0.79,-0.01,2.16,1.67,4.06,3.49,Upgrade
EV/EBITDA Ratio,-0.84,0.11,-7.85,-8.86,3.77,2.15,-0.03,9.55,6.19,-21.32,13.26,Upgrade
EV/EBIT Ratio,-0.88,0.11,-8.26,-9.79,4.09,2.33,-0.04,11.48,7.11,-16.66,15.49,Upgrade
EV/FCF Ratio,-1.20,0.15,-10.75,-9.36,5.13,2.20,-0.02,6.63,4.54,5.16,6.74,Upgrade
Debt / Equity Ratio,0.31,0.34,0.19,0.22,0.22,0.28,0.40,0.40,0.48,0.70,0.79,Upgrade
Debt / EBITDA Ratio,1.14,1.08,0.88,1.98,1.47,1.93,5.15,5.86,5.33,-14.80,9.06,Upgrade
Debt / FCF Ratio,1.64,1.52,1.21,2.09,2.00,1.98,3.47,4.07,3.91,3.58,4.61,Upgrade
Asset Turnover,0.05,0.05,0.04,0.04,0.05,0.05,0.04,0.04,0.05,0.03,0.04,Upgrade
Return on Equity (ROE),25.40%,26.30%,15.80%,8.60%,11.60%,11.70%,2.00%,4.00%,18.30%,-7.20%,13.90%,Upgrade
Return on Assets (ROA),1.50%,1.60%,1.30%,0.80%,1.30%,1.30%,0.20%,0.60%,2.50%,-0.90%,1.60%,Upgrade
Return on Capital (ROIC),1.90%,2.00%,2.20%,1.20%,1.70%,1.70%,0.90%,0.80%,1.10%,-0.70%,0.90%,Upgrade
Earnings Yield,26.68%,22.84%,14.25%,10.64%,11.74%,12.97%,2.87%,4.68%,30.37%,-9.00%,20.06%,Upgrade
FCF Yield,21.82%,19.10%,14.56%,13.60%,11.41%,16.38%,16.11%,11.11%,21.13%,23.74%,26.63%,Upgrade
Dividend Yield,4.03%,3.32%,2.13%,2.84%,2.04%,2.12%,2.82%,1.37%,1.06%,-,-,Upgrade
Payout Ratio,15.40%,15.00%,15.20%,27.20%,17.40%,16.50%,98.00%,29.10%,3.50%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,10.07%,8.97%,5.22%,12.91%,3.60%,1.67%,1.66%,-0.19%,-0.12%,-0.11%,-0.24%,Upgrade
Total Shareholder Return,14.10%,12.29%,7.35%,15.75%,5.64%,3.79%,4.47%,1.18%,0.94%,-0.11%,-0.24%,Upgrade
