Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"1,739","2,298","2,286","1,718","2,528","2,322","1,635","1,763","1,114","1,141","1,005",Upgrade
Market Cap Growth,-,0.54%,33.02%,-32.04%,8.87%,42.02%,-7.23%,58.24%,-2.37%,13.55%,17.46%,Upgrade
Enterprise Value,"2,794","3,336","2,557","2,410","4,001","3,660","2,385","2,486","2,023","1,718","1,671",Upgrade
PE Ratio,7.00,10.56,11.14,11.03,12.76,13.46,16.90,19.91,14.84,17.55,20.78,Upgrade
PS Ratio,2.32,3.30,3.56,2.99,4.32,4.32,4.59,5.31,3.57,3.92,3.43,Upgrade
PB Ratio,0.82,1.13,1.01,0.75,1.13,1.12,1.76,2.04,1.38,1.46,1.47,Upgrade
P/FCF Ratio,12.92,14.56,6.11,18.28,15.15,9.44,13.19,12.39,11.15,14.89,5.45,Upgrade
P/OCF Ratio,7.59,11.44,5.89,15.86,13.57,8.92,13.24,12.36,12.17,20.14,6.11,Upgrade
EV/Sales Ratio,3.73,4.79,3.98,4.19,6.84,6.81,6.70,7.49,6.48,5.90,5.70,Upgrade
EV/EBITDA Ratio,8.82,11.89,9.12,10.68,14.38,15.35,18.51,17.29,16.29,15.93,20.41,Upgrade
EV/EBIT Ratio,10.02,13.80,10.61,13.07,16.48,17.08,20.53,19.02,18.24,18.08,24.72,Upgrade
EV/FCF Ratio,20.76,21.14,6.83,25.64,23.98,14.88,19.24,17.48,20.25,22.42,9.06,Upgrade
Debt / Equity Ratio,0.74,0.80,0.31,0.41,0.77,0.78,1.00,1.07,1.31,0.91,1.19,Upgrade
Debt / EBITDA Ratio,4.92,5.82,2.52,4.18,6.22,6.76,7.25,6.45,8.52,6.58,9.89,Upgrade
Debt / FCF Ratio,11.59,10.35,1.89,10.03,10.37,6.55,7.54,6.52,10.59,9.26,4.39,Upgrade
Asset Turnover,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,Upgrade
Return on Equity (ROE),12.00%,10.60%,9.10%,7.00%,9.00%,9.80%,10.70%,10.40%,9.30%,8.80%,7.00%,Upgrade
Return on Assets (ROA),1.50%,1.30%,1.30%,1.00%,1.40%,1.40%,1.10%,1.10%,1.00%,0.90%,0.80%,Upgrade
Return on Capital (ROIC),1.70%,1.50%,1.60%,1.20%,1.60%,1.60%,1.20%,1.40%,1.40%,1.30%,1.00%,Upgrade
Earnings Yield,14.18%,9.47%,8.98%,9.07%,7.83%,7.43%,5.92%,5.02%,6.74%,5.70%,4.81%,Upgrade
FCF Yield,7.74%,6.87%,16.37%,5.47%,6.60%,10.59%,7.58%,8.07%,8.97%,6.72%,18.35%,Upgrade
Dividend Yield,5.03%,3.79%,3.86%,5.25%,3.52%,3.01%,2.59%,2.25%,3.55%,3.18%,5.43%,Upgrade
Payout Ratio,34.80%,39.50%,42.60%,57.50%,44.80%,40.00%,43.30%,44.10%,52.00%,55.00%,111.90%,Upgrade
Buyback Yield / Dilution,-0.74%,1.37%,2.24%,0.77%,-10.31%,-44.14%,-0.30%,-0.22%,-4.13%,-2.27%,1.35%,Upgrade
Total Shareholder Return,4.29%,5.15%,6.10%,6.02%,-6.79%,-41.13%,2.28%,2.03%,-0.58%,0.90%,6.78%,Upgrade
