Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"88,919","82,080","87,761","59,341","56,225","40,171","41,538","34,849","28,925","30,961","26,539",Upgrade
Market Cap Growth,-,-6.47%,47.89%,5.54%,39.97%,-3.29%,19.19%,20.48%,-6.57%,16.66%,41.43%,Upgrade
Enterprise Value,"103,064","94,110","99,171","70,831","69,294","44,929","45,820","38,630","31,965","32,382","27,191",Upgrade
PE Ratio,28.18,26.91,27.92,29.44,32.28,24.35,27.84,19.71,18.09,21.13,19.56,Upgrade
PS Ratio,4.22,3.96,4.43,3.45,3.38,2.69,2.96,2.64,2.24,2.39,2.16,Upgrade
PB Ratio,8.13,7.80,7.97,6.52,7.22,5.35,5.65,5.63,4.44,4.39,3.36,Upgrade
P/FCF Ratio,30.55,27.41,28.22,19.56,28.98,18.98,25.98,19.82,18.48,17.65,28.08,Upgrade
P/OCF Ratio,26.61,23.69,24.96,17.55,23.81,16.54,21.94,17.36,15.32,14.61,19.79,Upgrade
EV/Sales Ratio,4.89,4.54,5.00,4.11,4.16,3.01,3.27,2.92,2.48,2.50,2.22,Upgrade
EV/EBITDA Ratio,17.51,16.69,17.41,16.19,17.80,14.94,13.71,12.54,11.19,12.44,10.98,Upgrade
EV/EBIT Ratio,21.57,20.85,21.46,21.61,23.63,17.87,16.01,14.62,13.14,14.61,12.84,Upgrade
EV/FCF Ratio,35.34,31.42,31.89,23.35,35.72,21.22,28.66,21.97,20.43,18.46,28.77,Upgrade
Debt / Equity Ratio,1.37,1.28,1.20,1.49,1.83,0.78,0.75,0.78,0.68,0.48,0.37,Upgrade
Debt / EBITDA Ratio,2.55,2.39,2.31,3.10,3.65,1.94,1.64,1.56,1.55,1.30,1.19,Upgrade
Debt / FCF Ratio,5.14,4.50,4.23,4.48,7.33,2.75,3.43,2.73,2.82,1.93,3.13,Upgrade
Current Ratio,1.15,1.16,1.24,1.24,1.06,1.21,1.31,1.20,1.36,1.51,1.65,Upgrade
Asset Turnover,0.63,0.63,0.60,0.53,0.53,0.70,0.71,0.73,0.74,0.74,0.75,Upgrade
Return on Equity (ROE),30.80%,29.20%,31.20%,24.30%,22.20%,21.60%,21.40%,27.00%,24.30%,18.90%,19.10%,Upgrade
Return on Assets (ROA),9.60%,9.20%,9.50%,6.20%,5.60%,7.70%,7.60%,9.70%,9.10%,8.40%,8.30%,Upgrade
Return on Capital (ROIC),23.50%,22.30%,22.80%,15.40%,12.90%,22.40%,28.20%,28.60%,27.20%,29.70%,31.10%,Upgrade
Earnings Yield,3.61%,3.72%,3.58%,3.40%,3.10%,4.11%,3.59%,5.07%,5.53%,4.73%,5.11%,Upgrade
FCF Yield,3.27%,3.65%,3.54%,5.11%,3.45%,5.27%,3.85%,5.04%,5.41%,5.67%,3.56%,Upgrade
Dividend Yield,1.31%,1.38%,1.17%,1.59%,1.58%,2.01%,1.79%,1.95%,2.19%,1.89%,2.02%,Upgrade
Payout Ratio,35.60%,36.80%,32.30%,46.20%,50.60%,48.50%,49.10%,38.10%,39.20%,39.40%,38.90%,Upgrade
Buyback Yield / Dilution,1.77%,1.56%,-0.20%,-0.20%,-,1.54%,0.95%,2.24%,3.07%,0.90%,-1.09%,Upgrade
Total Shareholder Return,3.08%,2.94%,0.97%,1.39%,1.58%,3.55%,2.74%,4.19%,5.26%,2.79%,0.93%,Upgrade
