Year,Current,2022
Market Capitalization,272,267
Enterprise Value,66,60
PE Ratio,-982.50,-982.50
PB Ratio,-25.57,-25.57
P/FCF Ratio,149.52,146.67
P/OCF Ratio,149.52,146.67
EV/EBITDA Ratio,-222.09,-222.09
EV/EBIT Ratio,-222.09,-222.09
EV/FCF Ratio,36.00,33.15
Current Ratio,0.21,0.21
Return on Equity (ROE),3.10%,3.10%
Return on Assets (ROA),-0.10%,-0.10%
Return on Capital (ROIC),294.90%,294.90%
Earnings Yield,-0.10%,-0.10%
FCF Yield,0.67%,0.68%
Buyback Yield / Dilution,-291.92%,-
Total Shareholder Return,-291.92%,-
