Year,Current,2022
Market Capitalization,116,321
Enterprise Value,115,320
PE Ratio,19.43,20.33
PB Ratio,-29.95,-29.95
P/FCF Ratio,-219.35,-219.35
P/OCF Ratio,-219.35,-219.35
EV/EBITDA Ratio,6.97,19.34
EV/EBIT Ratio,6.97,19.34
EV/FCF Ratio,-219.00,-219.00
Current Ratio,0.63,0.63
Return on Equity (ROE),-134.70%,-134.70%
Return on Assets (ROA),6.30%,6.30%
Return on Capital (ROIC),6.70%,6.70%
Earnings Yield,13.60%,4.92%
FCF Yield,-1.26%,-0.46%
Buyback Yield / Dilution,-373.81%,-
Total Shareholder Return,-373.81%,-
