Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,570,907,"1,297",641,941,553,-,-
Market Cap Growth,-,-30.08%,102.40%,-31.96%,70.32%,-,-,-
Enterprise Value,"1,411","1,815","2,092","1,599","2,147","1,751","1,138",964
PE Ratio,8.43,14.32,11.48,-372.01,18.34,12.06,-,-
PS Ratio,1.72,2.83,3.79,3.67,3.44,2.03,-,-
PB Ratio,0.78,1.28,1.55,0.82,1.13,0.74,-,-
P/FCF Ratio,-10.78,-15.16,6.71,9.83,13.59,10.42,-,-
P/OCF Ratio,-13.18,-18.44,19.23,11.19,12.01,8.89,-,-
EV/Sales Ratio,4.27,5.67,6.11,9.17,7.86,6.43,4.00,4.15
EV/EBITDA Ratio,15.42,21.15,13.59,316.57,30.19,26.49,13.21,22.46
EV/EBIT Ratio,16.50,22.71,14.26,-368.94,33.54,30.42,14.77,28.53
EV/FCF Ratio,-23.10,-30.36,10.82,24.54,30.99,33.02,11.92,12.87
Debt / Equity Ratio,1.81,1.69,1.28,1.50,1.59,1.72,1.71,1.56
Debt / EBITDA Ratio,14.50,13.98,6.95,232.18,18.66,19.42,15.00,25.61
Debt / FCF Ratio,-19.43,-20.06,5.53,18.00,19.15,24.22,13.53,14.68
Asset Turnover,0.04,0.04,0.05,0.02,0.04,0.03,0.03,-
Return on Equity (ROE),9.50%,8.80%,14.00%,-0.20%,6.30%,6.10%,5.90%,-
Return on Assets (ROA),0.80%,0.70%,1.50%,0.00%,0.60%,0.60%,0.50%,-
Return on Capital (ROIC),0.90%,0.90%,1.70%,0.00%,0.70%,0.60%,0.80%,-
Earnings Yield,11.86%,6.98%,8.71%,-0.27%,5.45%,8.29%,-,-
FCF Yield,-11.99%,-6.60%,14.90%,10.17%,7.36%,9.59%,-,-
Dividend Yield,2.14%,1.34%,0.17%,-,-,-,-,-
Payout Ratio,17.90%,19.30%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,2.32%,10.00%,10.96%,2.46%,-1.69%,-0.00%,-,-
Total Shareholder Return,4.45%,11.34%,11.13%,2.46%,-1.69%,-0.00%,-,-
