Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,444,269,397,393,609,491,474,527,279,472,420,Upgrade
Market Cap Growth,-,-32.23%,1.09%,-35.53%,24.18%,3.52%,-10.07%,88.78%,-40.88%,12.43%,37.05%,Upgrade
Enterprise Value,738,570,633,588,852,628,646,634,450,577,482,Upgrade
PE Ratio,-32.05,-14.70,12.94,13.88,48.81,18.89,17.13,14.66,-6.14,15.42,8.24,Upgrade
PS Ratio,0.33,0.22,0.35,0.39,0.58,0.44,0.41,0.45,0.23,0.39,0.34,Upgrade
PB Ratio,2.95,2.16,1.87,2.10,3.83,2.87,2.60,3.43,2.46,2.73,2.10,Upgrade
P/FCF Ratio,62.00,-68.43,16.99,7.04,11.26,21.91,-114.11,7.57,9.72,-23.07,8.97,Upgrade
P/OCF Ratio,9.96,9.74,7.31,4.22,8.10,9.36,11.63,5.33,4.53,71.49,5.40,Upgrade
EV/Sales Ratio,0.58,0.46,0.56,0.58,0.81,0.56,0.55,0.54,0.36,0.47,0.38,Upgrade
EV/EBITDA Ratio,11.73,11.02,6.97,6.65,10.94,6.36,6.91,5.68,22.27,5.59,3.98,Upgrade
EV/EBIT Ratio,27.45,36.55,12.51,12.19,22.81,11.50,12.47,8.96,-19.35,8.81,5.53,Upgrade
EV/FCF Ratio,108.28,-144.81,27.07,10.53,15.76,28.04,-155.44,9.09,15.67,-28.17,10.29,Upgrade
Debt / Equity Ratio,2.51,2.78,1.36,1.28,1.85,1.11,1.24,1.22,2.17,0.91,0.69,Upgrade
Debt / EBITDA Ratio,5.70,6.70,3.18,2.71,3.78,1.93,2.42,1.69,12.23,1.52,1.14,Upgrade
Debt / FCF Ratio,52.63,-88.07,12.35,4.29,5.45,8.50,-54.33,2.70,8.61,-7.66,2.94,Upgrade
Current Ratio,1.29,1.26,1.14,1.24,1.33,1.42,1.44,1.58,1.43,1.42,1.17,Upgrade
Asset Turnover,1.54,1.48,1.42,1.35,1.34,1.50,1.46,1.55,1.47,1.53,1.51,Upgrade
Return on Equity (ROE),-8.30%,-10.90%,14.40%,17.20%,7.70%,14.30%,15.70%,25.90%,-29.70%,15.20%,30.20%,Upgrade
Return on Assets (ROA),-1.50%,-2.20%,3.80%,3.70%,1.60%,3.50%,3.50%,4.70%,-5.40%,3.90%,6.10%,Upgrade
Return on Capital (ROIC),4.50%,2.60%,9.70%,8.70%,6.60%,13.10%,11.70%,17.70%,-5.10%,18.70%,26.00%,Upgrade
Earnings Yield,-3.01%,-6.80%,7.73%,7.20%,2.05%,5.29%,5.84%,6.82%,-16.29%,6.48%,12.14%,Upgrade
FCF Yield,1.61%,-1.46%,5.88%,14.20%,8.88%,4.56%,-0.88%,13.22%,10.29%,-4.33%,11.15%,Upgrade
Dividend Yield,2.49%,-,2.45%,2.58%,1.86%,3.19%,3.35%,2.99%,5.54%,2.83%,2.38%,Upgrade
Payout Ratio,0.00%,0.00%,31.00%,35.20%,77.80%,54.90%,52.80%,41.20%,-35.40%,41.40%,18.90%,Upgrade
Buyback Yield / Dilution,5.70%,8.65%,-1.12%,1.26%,3.25%,1.55%,-0.97%,-1.69%,0.70%,-0.23%,-1.06%,Upgrade
Total Shareholder Return,8.23%,8.65%,1.33%,3.84%,5.12%,4.74%,2.39%,1.30%,6.24%,2.60%,1.33%,Upgrade
