Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2002
Market Capitalization,"357,174","334,328","353,053","355,843","301,237","194,837","160,239","112,503","109,313","99,330","100,571",Upgrade
Market Cap Growth,-,-5.30%,-0.78%,18.13%,54.61%,21.59%,42.43%,2.92%,10.05%,-1.23%,64.74%,Upgrade
Enterprise Value,"364,486","339,375","357,187","356,223","300,718","191,713","156,796","108,357","104,948","93,499","93,365",Upgrade
PE Ratio,37.99,33.67,40.64,55.51,37.11,33.25,40.93,27.72,28.71,27.46,32.28,Upgrade
PS Ratio,15.67,15.04,18.70,23.26,17.84,13.03,12.82,10.44,11.31,10.52,12.10,Upgrade
PB Ratio,67.07,53.09,48.28,55.68,51.12,36.11,29.31,19.89,18.13,14.63,13.44,Upgrade
P/FCF Ratio,35.13,33.11,40.82,54.61,40.41,34.07,30.57,26.44,29.08,32.32,26.22,Upgrade
P/OCF Ratio,31.55,29.86,37.31,49.26,36.81,31.31,28.29,24.26,26.66,29.15,24.32,Upgrade
EV/Sales Ratio,15.97,15.26,18.91,23.28,17.81,12.82,12.55,10.06,10.86,9.90,11.23,Upgrade
EV/EBITDA Ratio,27.92,26.20,31.16,40.85,28.70,24.43,22.04,17.72,19.49,17.16,19.57,Upgrade
EV/EBIT Ratio,29.62,27.81,33.26,43.76,30.21,25.94,23.49,18.87,20.91,18.24,20.68,Upgrade
EV/FCF Ratio,35.81,33.61,41.30,54.67,40.34,33.52,29.92,25.47,27.92,30.43,24.34,Upgrade
Debt / Equity Ratio,2.92,2.23,1.90,1.98,1.45,1.17,0.99,0.92,0.54,0.22,-,Upgrade
Debt / EBITDA Ratio,1.19,1.08,1.21,1.45,0.81,0.81,0.76,0.85,0.61,0.27,-,Upgrade
Debt / FCF Ratio,1.53,1.39,1.61,1.94,1.14,1.11,1.03,1.22,0.87,0.49,-,Upgrade
Current Ratio,1.20,1.17,1.29,1.61,1.42,1.40,1.57,1.84,1.75,1.77,1.82,Upgrade
Asset Turnover,0.60,0.59,0.53,0.48,0.65,0.64,0.62,0.63,0.64,0.64,0.64,Upgrade
Return on Equity (ROE),159.90%,153.60%,129.70%,106.60%,154.50%,105.90%,67.00%,70.00%,60.90%,55.40%,43.10%,Upgrade
Return on Assets (ROA),25.50%,26.50%,24.30%,20.00%,31.40%,25.00%,19.40%,23.80%,25.10%,24.50%,24.10%,Upgrade
Return on Capital (ROIC),62.80%,63.20%,59.50%,49.90%,90.50%,92.10%,91.70%,115.20%,158.50%,165.90%,182.20%,Upgrade
Earnings Yield,2.70%,2.97%,2.46%,1.80%,2.69%,3.01%,2.44%,3.61%,3.48%,3.64%,3.10%,Upgrade
FCF Yield,2.85%,3.02%,2.45%,1.83%,2.47%,2.94%,3.27%,3.78%,3.44%,3.09%,3.81%,Upgrade
Dividend Yield,0.56%,0.57%,0.49%,0.45%,0.45%,0.54%,0.59%,0.74%,0.67%,0.52%,0.25%,Upgrade
Payout Ratio,20.30%,19.10%,20.00%,25.00%,16.50%,17.80%,24.00%,20.50%,19.00%,14.10%,8.20%,Upgrade
Buyback Yield / Dilution,2.55%,2.12%,1.39%,1.57%,2.39%,2.33%,2.63%,3.17%,2.74%,3.79%,3.42%,Upgrade
Total Shareholder Return,3.11%,2.69%,1.89%,2.02%,2.84%,2.87%,3.22%,3.91%,3.40%,4.30%,3.67%,Upgrade
