Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2009
Market Capitalization,751,762,779,740,871,811,854,880,698,765,998,Upgrade
Market Cap Growth,-,-2.18%,5.25%,-15.08%,7.45%,-5.05%,-2.90%,26.07%,-8.77%,-23.39%,7.91%,Upgrade
Enterprise Value,"1,423","1,420","1,268","1,023","1,022","1,077","1,243",955,850,355,638,Upgrade
PE Ratio,30.64,41.54,13.08,47.89,15.56,12.13,12.13,8.24,49.55,15.79,13.26,Upgrade
PS Ratio,3.80,4.29,5.59,6.08,5.63,5.28,5.96,5.79,6.04,6.27,6.10,Upgrade
PB Ratio,0.76,0.76,0.93,0.87,0.96,0.88,0.93,0.96,0.79,0.82,1.00,Upgrade
P/FCF Ratio,-4.03,8.37,-5.77,-12.06,4.64,4.25,-3.51,5.94,-1.40,4.89,1.25,Upgrade
P/OCF Ratio,-4.03,8.37,-5.77,-12.06,4.64,4.25,-3.51,5.94,-1.40,4.89,1.25,Upgrade
EV/Sales Ratio,7.18,8.00,9.10,8.40,6.61,7.02,8.67,6.29,7.36,2.91,3.90,Upgrade
EV/EBITDA Ratio,18.54,22.03,14.18,24.00,12.04,11.76,13.49,7.27,28.64,5.64,6.66,Upgrade
EV/EBIT Ratio,18.54,22.03,14.18,24.00,12.04,11.76,13.49,7.27,28.64,5.64,6.66,Upgrade
EV/FCF Ratio,-7.32,15.59,-9.39,-16.66,5.45,5.64,-5.11,6.44,-1.71,2.27,0.80,Upgrade
Debt / Equity Ratio,1.13,1.09,0.96,0.79,0.65,0.52,0.59,0.42,0.49,0.24,0.23,Upgrade
Debt / EBITDA Ratio,14.53,16.86,9.08,15.76,6.91,5.17,5.86,2.95,14.49,3.58,2.35,Upgrade
Debt / FCF Ratio,-5.48,11.93,-6.01,-10.94,3.13,2.48,-2.22,2.61,-0.86,1.44,0.28,Upgrade
Asset Turnover,0.08,0.07,0.07,0.06,0.09,0.09,0.09,0.09,0.07,0.07,0.11,Upgrade
Return on Equity (ROE),2.40%,1.90%,7.00%,1.80%,6.10%,7.20%,7.70%,11.80%,1.50%,5.10%,7.50%,Upgrade
Return on Assets (ROA),1.00%,0.80%,3.00%,0.80%,3.10%,4.00%,4.20%,6.40%,0.80%,2.80%,5.10%,Upgrade
Return on Capital (ROIC),2.40%,2.10%,3.80%,2.20%,4.00%,4.70%,5.10%,7.10%,2.00%,4.90%,6.00%,Upgrade
Earnings Yield,3.15%,2.41%,7.65%,2.09%,6.43%,8.25%,8.25%,12.14%,2.02%,6.34%,7.54%,Upgrade
FCF Yield,-27.09%,11.95%,-17.35%,-8.29%,21.54%,23.56%,-28.49%,16.84%,-71.38%,20.47%,80.02%,Upgrade
Dividend Yield,11.92%,11.79%,8.90%,9.37%,7.95%,8.55%,7.92%,7.68%,9.74%,8.88%,8.87%,Upgrade
Payout Ratio,364.40%,468.60%,116.30%,443.20%,123.30%,103.80%,95.80%,63.20%,484.80%,141.60%,118.30%,Upgrade
Buyback Yield / Dilution,-29.09%,-29.61%,-,-,-,-,-0.03%,0.51%,-,4.08%,-14.42%,Upgrade
Total Shareholder Return,-17.20%,-17.82%,8.90%,9.37%,7.95%,8.55%,7.89%,8.20%,9.74%,12.97%,-5.55%,Upgrade
