Year,Current,2022,2021
Market Capitalization,88,101,317
Market Cap Growth,-,-68.01%,-
Enterprise Value,65,78,68
PE Ratio,107.50,42.41,-185.77
PB Ratio,-8.74,-8.74,-33.92
EV/EBITDA Ratio,26.01,31.23,-39.79
EV/EBIT Ratio,26.01,31.23,-39.79
Debt / Equity Ratio,-0.71,-0.71,-0.08
Debt / EBITDA Ratio,3.27,3.27,-0.43
Current Ratio,0.03,0.03,0.08
Return on Equity (ROE),-22.40%,-22.40%,71.30%
Return on Assets (ROA),1.90%,1.90%,-0.70%
Return on Capital (ROIC),4.60%,4.60%,-2.70%
Earnings Yield,2.71%,2.36%,-0.54%
Buyback Yield / Dilution,8.50%,8.50%,-429.20%
Total Shareholder Return,8.50%,8.50%,-429.20%
