Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"1,050","1,699","1,277","1,050","1,246","1,028",869,780,625,561,456,Upgrade
Market Cap Growth,-,33.12%,21.54%,-15.68%,21.18%,18.34%,11.32%,24.91%,11.33%,23.01%,70.26%,Upgrade
Enterprise Value,"1,507","1,987",643,493,"1,072",873,842,549,390,16,-95,Upgrade
PE Ratio,7.52,13.55,10.85,16.20,13.53,15.04,21.42,17.41,14.26,21.49,16.65,Upgrade
PS Ratio,2.51,4.35,3.73,3.89,3.99,3.93,3.88,3.57,3.07,3.62,3.27,Upgrade
PB Ratio,0.96,1.62,1.28,1.14,1.37,1.24,1.72,1.64,1.38,1.34,1.82,Upgrade
P/FCF Ratio,6.45,10.24,9.69,9.38,12.64,12.28,19.94,20.02,12.66,24.53,13.91,Upgrade
P/OCF Ratio,6.29,10.43,9.66,9.15,12.12,11.29,15.68,16.18,11.40,20.46,11.10,Upgrade
EV/Sales Ratio,3.60,5.09,1.88,1.83,3.43,3.33,3.76,2.51,1.92,0.10,-0.68,Upgrade
EV/EBITDA Ratio,7.04,10.33,3.55,4.70,7.44,8.41,9.83,6.83,4.89,0.31,-1.87,Upgrade
EV/EBIT Ratio,7.74,11.42,3.93,5.65,8.45,9.35,10.86,7.57,5.36,0.36,-2.07,Upgrade
EV/FCF Ratio,9.26,11.97,4.88,4.40,10.88,10.43,19.34,14.08,7.90,0.69,-2.89,Upgrade
Debt / Equity Ratio,0.52,0.38,0.13,0.12,0.11,0.09,0.35,0.16,0.15,0.16,0.19,Upgrade
Debt / EBITDA Ratio,2.65,2.05,0.74,1.07,0.72,0.70,2.09,0.92,0.86,1.29,0.94,Upgrade
Debt / FCF Ratio,3.49,2.38,1.02,1.00,1.05,0.87,4.11,1.90,1.39,2.87,1.45,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,Upgrade
Return on Equity (ROE),13.50%,12.00%,12.10%,7.20%,10.40%,10.30%,8.10%,9.50%,10.00%,8.70%,11.30%,Upgrade
Return on Assets (ROA),1.40%,1.20%,1.40%,0.90%,1.40%,1.20%,0.90%,1.00%,1.10%,0.90%,1.00%,Upgrade
Return on Capital (ROIC),2.00%,1.80%,2.20%,1.30%,2.10%,1.70%,1.70%,1.80%,1.90%,1.70%,2.20%,Upgrade
Earnings Yield,13.41%,7.38%,9.22%,6.17%,7.39%,6.65%,4.67%,5.74%,7.01%,4.65%,6.01%,Upgrade
FCF Yield,15.50%,9.77%,10.32%,10.66%,7.91%,8.14%,5.01%,5.00%,7.90%,4.08%,7.19%,Upgrade
Dividend Yield,3.64%,2.16%,2.33%,2.49%,2.01%,2.07%,1.74%,1.76%,1.90%,1.78%,1.48%,Upgrade
Payout Ratio,27.30%,28.60%,25.30%,40.60%,27.20%,27.20%,37.30%,30.60%,26.90%,29.90%,24.60%,Upgrade
Buyback Yield / Dilution,-12.01%,-12.16%,0.18%,2.46%,-0.34%,-32.59%,-0.50%,-0.28%,-0.22%,-41.29%,-0.52%,Upgrade
Total Shareholder Return,-8.37%,-10.00%,2.51%,4.96%,1.67%,-30.52%,1.24%,1.48%,1.68%,-39.51%,0.96%,Upgrade
