Year,Current,2022,2021,2020,2019
Market Capitalization,"8,384","8,596",-,-,-
Enterprise Value,"7,963","7,915",-547,-305,-102
PE Ratio,-131.65,-31.87,-,-,-
PS Ratio,5.52,4.29,-,-,-
PB Ratio,16.63,16.87,-,-,-
P/FCF Ratio,12.17,6.26,-,-,-
P/OCF Ratio,12.13,6.25,-,-,-
EV/Sales Ratio,5.19,3.95,-0.11,-0.14,-0.05
EV/EBITDA Ratio,-574.69,-36.71,-3.02,1.83,-0.19
EV/EBIT Ratio,-574.69,-36.71,-3.02,1.83,-0.20
EV/FCF Ratio,11.44,5.76,-0.37,-3.50,-0.12
Debt / Equity Ratio,0.87,0.87,0.28,0.23,0.28
Debt / EBITDA Ratio,-29.85,-2.06,2.45,-3.43,1.05
Debt / FCF Ratio,0.64,0.32,0.30,6.55,0.69
Asset Turnover,0.19,0.23,0.62,0.34,-
Return on Equity (ROE),-27.00%,-211.70%,7.60%,-8.70%,-
Return on Assets (ROA),-0.80%,-3.10%,1.90%,-3.10%,-
Return on Capital (ROIC),-0.20%,-2.70%,2.40%,-2.70%,-
Earnings Yield,-0.81%,-3.14%,-,-,-
FCF Yield,8.22%,15.98%,-,-,-
Dividend Yield,5.89%,3.92%,-,-,-
Payout Ratio,129.80%,99.10%,-,-,-
Buyback Yield / Dilution,-0.33%,74.18%,-,-,-
Total Shareholder Return,5.50%,78.10%,-,-,-
