Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,847,743,518,134,92,93,115,113,73,83,-,Upgrade
Market Cap Growth,-,43.42%,286.59%,45.98%,-1.73%,-18.96%,1.78%,55.30%,-11.76%,-,-,Upgrade
Enterprise Value,"1,233","1,079",738,274,309,290,309,264,178,229,112,Upgrade
PE Ratio,5.53,5.60,3.24,4.39,41.24,-27.49,16.26,12.21,10.34,10.00,-,Upgrade
PS Ratio,0.10,0.09,0.07,0.03,0.02,0.01,0.02,0.02,0.01,0.01,-,Upgrade
PB Ratio,1.51,1.52,1.43,1.33,1.32,1.42,1.66,1.79,1.30,1.67,-,Upgrade
P/FCF Ratio,32.87,-8.07,-9.46,2.84,-6.11,14.75,-9.57,-1.96,-11.36,-4.65,-,Upgrade
P/OCF Ratio,28.46,-8.33,-9.83,2.79,-6.31,12.21,-11.78,-2.02,-15.54,-4.93,-,Upgrade
EV/Sales Ratio,0.15,0.13,0.10,0.05,0.06,0.04,0.04,0.04,0.03,0.04,0.02,Upgrade
EV/EBITDA Ratio,5.25,5.01,3.32,4.67,13.33,22.12,13.78,11.42,12.43,12.46,4.50,Upgrade
EV/EBIT Ratio,5.56,5.74,3.49,4.91,15.16,27.66,14.78,12.05,13.25,13.13,4.66,Upgrade
EV/FCF Ratio,47.80,-11.72,-13.48,5.81,-20.57,45.89,-25.67,-4.58,-27.80,-12.91,-66.42,Upgrade
Debt / Equity Ratio,1.10,1.21,1.32,2.99,5.07,4.89,4.54,4.29,3.33,3.23,2.51,Upgrade
Debt / EBITDA Ratio,2.63,2.75,2.16,5.15,15.24,24.46,14.07,11.75,12.99,8.69,5.37,Upgrade
Debt / FCF Ratio,23.99,-6.43,-8.75,6.42,-23.52,50.75,-26.22,-4.71,-29.06,-9.00,-79.21,Upgrade
Current Ratio,1.31,1.41,1.36,1.28,1.24,1.06,1.11,1.14,1.16,1.16,1.17,Upgrade
Asset Turnover,5.64,6.31,7.00,6.77,6.90,12.20,13.83,16.89,17.90,20.44,23.43,Upgrade
Return on Equity (ROE),29.00%,31.10%,71.00%,37.50%,3.20%,-5.00%,10.50%,14.90%,13.30%,16.40%,23.00%,Upgrade
Return on Assets (ROA),10.40%,10.20%,14.70%,3.80%,0.30%,-0.50%,1.40%,2.30%,2.10%,2.80%,4.00%,Upgrade
Return on Capital (ROIC),24.10%,22.00%,31.60%,11.20%,4.50%,2.70%,5.50%,7.40%,6.10%,9.60%,16.00%,Upgrade
Earnings Yield,17.92%,17.85%,30.83%,22.78%,2.42%,-3.64%,6.15%,8.19%,9.67%,10.00%,-,Upgrade
FCF Yield,3.04%,-12.39%,-10.58%,35.16%,-16.37%,6.78%,-10.45%,-50.90%,-8.80%,-21.49%,-,Upgrade
Dividend Yield,4.39%,3.28%,5.20%,-,-,1.81%,1.85%,1.51%,0.97%,-,-,Upgrade
Payout Ratio,21.50%,17.20%,15.70%,0.00%,0.00%,-50.00%,29.70%,18.00%,9.90%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,-0.94%,-35.58%,-26.72%,0.07%,-0.77%,1.27%,-0.02%,-0.82%,6.95%,3.41%,4.35%,Upgrade
Total Shareholder Return,3.50%,-32.31%,-21.52%,0.07%,-0.77%,3.07%,1.84%,0.69%,7.92%,3.41%,4.35%,Upgrade
