Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2006
Market Capitalization,"31,543","34,396","36,947","27,332","38,797","33,441","45,164","32,142","50,851","68,440","63,282",Upgrade
Market Cap Growth,-,-6.90%,35.18%,-29.55%,16.01%,-25.96%,40.52%,-36.79%,-25.70%,8.15%,82.34%,Upgrade
Enterprise Value,"37,928","36,251","4,215","143,335","187,764","134,624","162,050","266,055","355,351","575,002","511,438",Upgrade
PE Ratio,6.47,9.24,10.53,-17.59,10.81,24.29,1078.41,-2.99,-14.59,-10.54,-4.07,Upgrade
PS Ratio,2.24,2.17,2.66,1.92,2.11,1.97,2.55,2.07,2.67,2.90,2.28,Upgrade
PB Ratio,0.83,0.78,0.66,0.46,0.68,0.58,0.69,0.54,0.65,0.79,0.65,Upgrade
P/FCF Ratio,-,-0.65,0.52,0.69,-9.19,-3.67,0.96,-6.33,22.00,-2.19,-1.28,Upgrade
P/OCF Ratio,-,-0.65,0.52,0.69,-9.58,-3.86,0.94,-7.13,37.56,-2.16,-1.25,Upgrade
EV/Sales Ratio,2.70,2.29,0.30,10.06,10.20,7.92,9.13,17.12,18.64,24.37,18.46,Upgrade
EV/EBITDA Ratio,-,5.52,0.65,445.25,29.78,29.48,51.69,-43.72,-123.17,-236.48,-35.07,Upgrade
EV/EBIT Ratio,7.32,6.52,0.80,-154.10,39.95,37.49,80.86,-36.85,-123.17,-236.48,-35.07,Upgrade
EV/FCF Ratio,-,-0.68,0.06,3.60,-44.45,-14.78,3.43,-52.37,153.75,-18.42,-10.36,Upgrade
Debt / Equity Ratio,3.45,4.01,3.67,4.77,4.46,3.69,3.82,5.43,5.35,7.17,6.02,Upgrade
Debt / EBITDA Ratio,-,26.87,31.47,890.09,40.53,46.87,79.67,-53.50,-146.14,-256.30,-40.11,Upgrade
Debt / FCF Ratio,-,-3.32,2.89,7.20,-60.50,-23.49,5.28,-64.09,182.42,-19.96,-11.85,Upgrade
Asset Turnover,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.01,Upgrade
Return on Equity (ROE),9.50%,8.30%,6.20%,-2.60%,6.10%,2.30%,0.10%,-16.70%,-4.30%,-7.00%,-14.10%,Upgrade
Return on Assets (ROA),0.50%,0.40%,0.30%,-0.10%,0.40%,0.10%,0.00%,-1.00%,-0.30%,-0.40%,-0.80%,Upgrade
Return on Capital (ROIC),0.70%,0.60%,0.50%,-0.10%,0.40%,0.40%,0.20%,-0.50%,-0.20%,-0.10%,-0.60%,Upgrade
Earnings Yield,11.22%,10.83%,9.50%,-5.68%,9.25%,4.12%,0.09%,-33.46%,-6.86%,-9.49%,-24.57%,Upgrade
FCF Yield,-154.41%,191.08%,145.68%,-10.89%,-27.24%,104.68%,-15.81%,4.55%,-45.61%,-77.99%,Upgrade,
Dividend Yield,5.97%,9.60%,5.47%,9.16%,19.21%,1.89%,-,-,-,-,-,Upgrade
Payout Ratio,35.20%,38.10%,24.70%,-121.50%,90.40%,15.40%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,8.10%,5.18%,-,-0.38%,-0.70%,-1.20%,-1.71%,-1.38%,-1.44%,-1.18%,-73.65%,Upgrade
Total Shareholder Return,14.09%,14.77%,5.47%,8.79%,18.50%,0.70%,-1.71%,-1.38%,-1.44%,-1.18%,-73.65%,Upgrade
