Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,"1,419","1,822","1,807",916,"1,278",868,"1,041",860,568,390,394,Upgrade
Market Cap Growth,-,0.86%,97.26%,-28.35%,47.25%,-16.62%,21.02%,51.58%,45.42%,-0.83%,67.65%,Upgrade
Enterprise Value,"1,596","2,103",337,925,"1,736","1,080","1,430","1,043",910,725,505,Upgrade
PE Ratio,6.85,9.16,13.58,12.32,13.79,9.73,21.61,17.62,14.76,14.37,11.89,Upgrade
PS Ratio,2.52,3.42,4.36,3.54,4.54,3.88,5.17,5.35,4.04,3.04,2.80,Upgrade
PB Ratio,0.89,1.20,1.18,0.85,1.47,1.44,1.90,2.22,1.62,1.23,1.41,Upgrade
P/FCF Ratio,6.02,8.42,11.43,6.87,14.85,8.21,24.08,10.75,12.59,13.19,14.07,Upgrade
P/OCF Ratio,6.01,8.41,11.25,6.76,13.83,7.98,22.74,10.43,12.03,12.39,13.43,Upgrade
EV/Sales Ratio,2.84,3.94,0.81,3.57,6.17,4.83,7.09,6.48,6.47,5.64,3.59,Upgrade
EV/EBITDA Ratio,5.70,7.78,1.87,8.92,13.64,9.76,15.47,13.34,14.79,16.28,9.21,Upgrade
EV/EBIT Ratio,5.92,8.10,2.00,10.06,14.96,10.33,16.53,13.94,15.58,17.67,10.08,Upgrade
EV/FCF Ratio,6.78,9.72,2.13,6.94,20.16,10.21,33.07,13.04,20.18,24.50,18.04,Upgrade
Debt / Equity Ratio,0.29,0.38,0.37,0.51,0.73,0.68,0.99,0.99,1.25,1.39,1.17,Upgrade
Debt / EBITDA Ratio,1.67,2.14,3.10,5.35,4.94,3.72,5.89,4.89,7.11,9.90,5.97,Upgrade
Debt / FCF Ratio,1.99,2.68,3.53,4.16,7.30,3.89,12.59,4.78,9.70,14.89,11.69,Upgrade
Asset Turnover,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,Upgrade
Return on Equity (ROE),13.80%,13.50%,10.30%,8.10%,11.10%,15.40%,8.80%,13.00%,11.40%,8.90%,12.60%,Upgrade
Return on Assets (ROA),1.60%,1.50%,1.10%,0.90%,1.30%,1.60%,0.90%,1.30%,1.10%,0.80%,1.10%,Upgrade
Return on Capital (ROIC),2.10%,2.10%,1.60%,1.10%,1.60%,1.80%,1.60%,1.80%,1.60%,1.20%,1.50%,Upgrade
Earnings Yield,14.61%,10.92%,7.36%,8.12%,7.25%,10.28%,4.63%,5.68%,6.77%,6.96%,8.41%,Upgrade
FCF Yield,16.60%,11.87%,8.75%,14.55%,6.74%,12.18%,4.15%,9.30%,7.94%,7.58%,7.11%,Upgrade
Dividend Yield,2.47%,1.84%,1.59%,2.06%,1.29%,1.25%,0.97%,0.95%,0.92%,1.06%,1.03%,Upgrade
Payout Ratio,16.90%,16.90%,19.40%,26.10%,17.40%,12.20%,21.00%,16.80%,13.60%,15.10%,11.80%,Upgrade
Buyback Yield / Dilution,1.43%,2.99%,-46.40%,1.17%,-14.93%,-0.04%,-15.26%,0.06%,-1.20%,-2.64%,-7.31%,Upgrade
Total Shareholder Return,3.91%,4.83%,-44.81%,3.23%,-13.65%,1.21%,-14.28%,1.01%,-0.28%,-1.58%,-6.28%,Upgrade
