Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,"2,165","3,325","3,521","3,084","3,779","3,036","4,073","4,858",-,-
Market Cap Growth,-,-5.56%,14.16%,-18.39%,24.46%,-25.46%,-16.16%,-,-,-
Enterprise Value,"2,049","2,873","2,262","2,243","3,685","2,632","3,039","3,816","-2,434",-875
PE Ratio,7.56,12.51,13.25,16.60,13.29,11.48,22.18,21.11,-,-
PS Ratio,2.65,4.20,4.67,5.04,5.02,4.20,5.69,6.85,-,-
PB Ratio,0.93,1.47,1.33,1.12,1.43,1.20,1.61,1.96,-,-
P/FCF Ratio,4.79,7.65,8.79,17.51,14.14,9.62,15.21,23.74,-,-
P/OCF Ratio,4.84,7.72,8.44,14.72,12.74,8.64,15.10,22.07,-,-
EV/Sales Ratio,2.50,3.63,3.00,3.67,4.90,3.64,4.24,5.38,-3.63,-1.36
EV/EBITDA Ratio,4.94,7.04,5.64,7.31,8.20,6.37,7.06,9.00,-6.60,-2.36
EV/EBIT Ratio,5.64,8.18,6.48,9.20,9.65,7.35,8.25,10.26,-7.09,-2.54
EV/FCF Ratio,4.53,6.61,5.65,12.74,13.79,8.34,11.34,18.65,-19.21,-3.87
Debt / Equity Ratio,0.32,0.03,-,0.07,0.23,0.24,0.00,0.00,0.08,0.14
Debt / EBITDA Ratio,1.81,0.18,-,0.65,1.33,1.45,0.00,0.02,0.59,1.04
Debt / FCF Ratio,1.66,0.17,-,1.14,2.25,1.90,0.00,0.04,1.71,1.71
Asset Turnover,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,-
Return on Equity (ROE),12.10%,11.80%,9.90%,6.90%,10.80%,10.70%,7.20%,8.80%,7.90%,-
Return on Assets (ROA),1.10%,1.10%,1.10%,0.80%,1.40%,1.30%,0.90%,1.20%,1.10%,-
Return on Capital (ROIC),1.60%,1.50%,1.60%,1.20%,2.00%,1.90%,2.00%,2.20%,2.10%,-
Earnings Yield,12.69%,7.99%,7.55%,6.02%,7.53%,8.71%,4.51%,4.74%,-,-
FCF Yield,20.88%,13.07%,11.38%,5.71%,7.07%,10.39%,6.58%,4.21%,-,-
Dividend Yield,6.40%,4.00%,3.83%,4.39%,3.67%,4.34%,3.02%,0.57%,-,-
Payout Ratio,48.60%,50.00%,50.50%,72.70%,48.60%,49.70%,66.70%,12.10%,0.00%,0.00%
Buyback Yield / Dilution,0.07%,1.20%,0.52%,2.37%,2.72%,1.82%,-0.12%,-0.02%,-,-
Total Shareholder Return,6.47%,5.20%,4.35%,6.77%,6.39%,6.16%,2.90%,0.55%,-,-
