Year,Current,2022,2021,2020,2019,2014,2013,2012,2011,2010,2009,2008 - 2004
Market Capitalization,196,241,182,169,147,89,91,67,71,74,87,Upgrade
Market Cap Growth,-,31.94%,8.06%,14.52%,64.84%,-2.12%,37.00%,-6.06%,-3.53%,-15.37%,-5.33%,Upgrade
Enterprise Value,139,171,63,133,45,89,83,36,9,55,28,Upgrade
PE Ratio,6.05,9.68,15.31,13.68,11.37,52.66,80.30,-26.51,30.12,39.36,-33.21,Upgrade
PS Ratio,2.54,3.69,4.34,4.14,3.60,4.80,5.10,5.04,4.00,4.49,10.26,Upgrade
PB Ratio,0.75,0.92,0.73,1.10,1.04,0.86,0.88,0.64,0.66,0.68,0.81,Upgrade
P/FCF Ratio,5.42,9.92,11.98,11.62,14.21,20.92,55.63,-19.48,24.39,8.01,-11.60,Upgrade
P/OCF Ratio,5.20,8.73,8.46,10.77,10.27,20.08,52.65,104.12,12.56,11.15,-29.57,Upgrade
EV/Sales Ratio,1.81,2.63,1.50,3.27,1.10,4.76,4.61,2.69,0.51,3.34,3.30,Upgrade
EV/EBITDA Ratio,2.98,4.80,3.77,7.99,2.52,27.33,35.09,-8.72,2.13,15.16,-5.99,Upgrade
EV/EBIT Ratio,3.06,4.98,4.04,8.53,2.65,35.64,53.75,-7.38,2.55,19.71,-5.15,Upgrade
EV/FCF Ratio,3.85,7.07,4.13,9.18,4.34,20.73,50.34,-10.38,3.12,5.95,-3.73,Upgrade
Debt / Equity Ratio,0.08,0.10,0.13,0.22,0.18,0.32,0.24,0.18,0.22,0.26,0.36,Upgrade
Debt / EBITDA Ratio,0.44,0.74,1.98,2.03,1.42,10.29,10.61,-4.54,5.48,7.92,-8.25,Upgrade
Debt / FCF Ratio,0.57,1.08,2.17,2.33,2.45,7.81,15.23,-5.41,8.03,3.11,-5.14,Upgrade
Asset Turnover,0.06,0.05,0.04,0.04,-,0.04,0.04,0.03,0.04,0.03,0.02,Upgrade
Return on Equity (ROE),12.50%,9.60%,5.80%,8.30%,-,1.60%,1.10%,-2.40%,2.20%,1.70%,-2.40%,Upgrade
Return on Assets (ROA),2.40%,1.90%,1.10%,1.30%,-,0.30%,0.30%,-0.50%,0.50%,0.40%,-0.50%,Upgrade
Return on Capital (ROIC),3.50%,2.80%,1.50%,1.70%,-,0.50%,0.40%,-1.20%,0.80%,0.60%,-1.20%,Upgrade
Earnings Yield,16.57%,10.33%,6.53%,7.31%,8.79%,1.90%,1.25%,-3.77%,3.32%,2.54%,-3.01%,Upgrade
FCF Yield,18.46%,10.08%,8.35%,8.61%,7.04%,4.78%,1.80%,-5.13%,4.10%,12.49%,-8.62%,Upgrade
Dividend Yield,1.85%,2.35%,1.83%,1.44%,0.98%,1.63%,1.21%,2.21%,2.11%,2.07%,1.77%,Upgrade
Payout Ratio,16.70%,22.40%,28.00%,19.70%,11.10%,85.70%,100.00%,-60.00%,63.20%,80.00%,-60.00%,Upgrade
Buyback Yield / Dilution,5.63%,0.81%,1.83%,-34.29%,0.71%,1.66%,-0.17%,1.31%,1.97%,0.69%,-0.20%,Upgrade
Total Shareholder Return,7.50%,3.16%,3.66%,-32.86%,1.69%,3.28%,1.04%,3.52%,4.08%,2.76%,1.56%,Upgrade
