Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,787,783,"1,074","1,504","1,253","1,094","1,185","1,210",965,650,-,Upgrade
Market Cap Growth,-,-27.09%,-28.59%,20.07%,14.48%,-7.61%,-2.08%,25.38%,48.55%,-,-,Upgrade
Enterprise Value,816,833,"1,149",849,109,"1,144","1,223","1,292","1,051",769,3,Upgrade
PE Ratio,40.56,35.25,-6.22,311.88,32.68,17.15,27.19,16.25,18.04,14.54,-,Upgrade
PS Ratio,0.94,0.96,1.39,2.25,1.38,1.24,1.45,2.06,1.91,1.48,-,Upgrade
PB Ratio,1.34,1.41,1.48,1.89,1.61,1.54,1.71,1.75,1.42,0.94,-,Upgrade
P/FCF Ratio,4.69,3.65,-1.17,-5.48,0.84,3.77,5.70,7.84,8.04,4.98,-,Upgrade
P/OCF Ratio,4.49,3.52,-1.18,-5.49,0.84,3.77,5.70,7.84,8.04,4.98,-,Upgrade
EV/Sales Ratio,0.96,1.02,1.49,1.27,0.12,1.29,1.50,2.20,2.08,1.75,0.01,Upgrade
EV/EBITDA Ratio,11.40,12.25,-6.30,31.44,1.64,13.21,18.47,14.33,15.28,14.04,0.04,Upgrade
EV/EBIT Ratio,11.57,12.44,-6.14,38.63,1.75,13.89,19.08,14.72,15.74,14.79,0.04,Upgrade
EV/FCF Ratio,4.82,3.88,-1.25,-3.09,0.07,3.95,5.89,8.37,8.76,5.89,0.03,Upgrade
Debt / Equity Ratio,0.55,0.59,0.51,0.46,0.34,0.31,0.29,0.28,0.28,0.28,0.23,Upgrade
Debt / EBITDA Ratio,4.56,4.80,-2.01,13.57,3.94,2.57,3.05,2.13,2.80,3.51,1.85,Upgrade
Debt / FCF Ratio,1.93,1.52,-0.40,-1.34,0.18,0.77,0.97,1.25,1.60,1.48,1.53,Upgrade
Asset Turnover,0.16,0.16,0.15,0.13,0.24,0.30,0.31,0.26,0.25,0.23,0.20,Upgrade
Return on Equity (ROE),3.50%,3.80%,-22.80%,0.60%,5.00%,9.20%,6.10%,10.40%,7.70%,6.40%,9.10%,Upgrade
Return on Assets (ROA),0.40%,0.40%,-3.40%,0.10%,1.00%,2.10%,1.70%,3.30%,2.60%,2.40%,3.50%,Upgrade
Return on Capital (ROIC),1.40%,1.30%,-4.10%,0.60%,1.90%,3.00%,2.60%,4.10%,3.40%,3.00%,4.90%,Upgrade
Earnings Yield,2.51%,2.84%,-16.08%,0.32%,3.06%,5.83%,3.68%,6.16%,5.54%,6.88%,-,Upgrade
FCF Yield,21.31%,27.39%,-85.62%,-18.24%,118.79%,26.50%,17.54%,12.76%,12.43%,20.07%,-,Upgrade
Dividend Yield,0.96%,0.96%,3.90%,2.46%,2.94%,3.32%,4.34%,5.56%,1.95%,-,-,Upgrade
Payout Ratio,37.70%,33.90%,-24.30%,750.00%,94.50%,56.10%,114.90%,87.90%,34.20%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,-0.61%,-7.71%,-13.19%,-0.69%,-1.21%,-0.11%,-1.27%,-1.91%,-1.82%,5.54%,14.64%,Upgrade
Total Shareholder Return,0.33%,-6.75%,-9.28%,1.78%,1.73%,3.21%,3.08%,3.65%,0.12%,5.54%,14.64%,Upgrade
