Year,Current,2022,2021,2020,2019,2018
Market Capitalization,"1,123",853,"2,837","4,482",362,335
Market Cap Growth,-,-69.95%,-36.71%,1137.00%,8.10%,-
Enterprise Value,"1,070",796,"2,868","4,541",356,334
PE Ratio,21.39,12.80,19.42,-49.40,-3.24,-7.60
PS Ratio,6.76,4.75,13.15,41.16,3.90,6.42
PB Ratio,5.52,4.01,17.84,168.35,-1.54,67.03
P/FCF Ratio,10.89,7.98,30.45,191.17,8.70,11.76
P/OCF Ratio,10.81,7.94,29.81,181.89,8.68,11.72
EV/Sales Ratio,6.37,4.43,13.30,41.70,3.83,6.40
EV/EBITDA Ratio,12.14,7.85,14.44,-58.50,5.65,11.62
EV/EBIT Ratio,12.40,8.01,14.56,-57.19,5.66,11.65
EV/FCF Ratio,10.27,7.45,30.78,193.68,8.54,11.72
Debt / Equity Ratio,0.73,0.71,0.95,6.12,-0.01,-
Debt / EBITDA Ratio,1.71,1.50,0.76,-2.10,0.05,-
Debt / FCF Ratio,1.44,1.42,1.62,6.95,0.08,-
Current Ratio,16.24,18.58,16.81,9.57,5.52,3.28
Asset Turnover,0.44,0.48,0.72,0.41,0.40,0.19
Return on Equity (ROE),26.10%,31.80%,137.90%,91.10%,203.70%,-882.00%
Return on Assets (ROA),14.80%,17.90%,48.70%,-34.30%,-48.40%,-15.90%
Return on Capital (ROIC),27.40%,30.60%,57.60%,-25.40%,27.80%,10.40%
Earnings Yield,4.94%,7.81%,5.15%,-2.02%,-30.90%,-13.16%
FCF Yield,9.19%,12.53%,3.28%,0.52%,11.50%,8.50%
Buyback Yield / Dilution,2.21%,0.10%,-52.45%,-120.32%,-,-
Total Shareholder Return,2.21%,0.10%,-52.45%,-120.32%,-,-
