Year,Current,2022,2021,2020,2019
Market Capitalization,81,85,91,-,-
Market Cap Growth,-,-6.43%,-,-,-
Enterprise Value,86,73,48,-7,45
PE Ratio,17.93,20.34,51.97,-,-
PS Ratio,4.65,5.19,6.98,-,-
PB Ratio,0.78,0.85,0.91,-,-
P/FCF Ratio,16.52,21.14,23.19,-,-
P/OCF Ratio,12.54,14.75,17.40,-,-
EV/Sales Ratio,5.09,4.48,3.65,-0.54,3.60
EV/EBITDA Ratio,15.19,13.07,18.51,-1.35,8.81
EV/EBIT Ratio,16.12,13.90,22.69,-1.52,9.55
EV/FCF Ratio,18.06,18.25,12.12,-2.28,10.88
Debt / Equity Ratio,0.35,0.25,0.19,0.94,0.96
Debt / EBITDA Ratio,6.19,4.45,7.21,10.53,9.99
Debt / FCF Ratio,7.35,6.21,4.72,17.75,12.34
Asset Turnover,0.04,0.04,0.04,0.04,-
Return on Equity (ROE),4.20%,4.20%,2.20%,6.40%,-
Return on Assets (ROA),1.00%,1.10%,0.50%,1.10%,-
Return on Capital (ROIC),1.30%,1.40%,0.70%,1.30%,-
Earnings Yield,5.33%,4.92%,1.92%,-,-
FCF Yield,6.05%,4.73%,4.31%,-,-
Dividend Yield,1.10%,1.04%,-,-,-
Payout Ratio,0.00%,20.30%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,0.30%,-,-127.18%,-,-
Total Shareholder Return,1.40%,1.04%,-127.18%,-,-
