Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,"3,706",340,779,"1,621","2,044",-,-
Market Cap Growth,-,-56.35%,-51.97%,-20.68%,-,-,-
Enterprise Value,"3,599",222,775,"1,598","1,797",-225,-62
PE Ratio,1.73,2.39,5.54,11.85,16.99,-,-
PS Ratio,20.98,1.92,4.35,11.15,8.64,-,-
PB Ratio,5.01,0.46,1.52,1.59,2.33,-,-
P/FCF Ratio,78.58,7.18,12.59,6.34,25.49,-,-
P/OCF Ratio,78.58,7.18,12.59,6.34,25.49,-,-
EV/Sales Ratio,20.32,1.25,4.33,10.99,7.59,-3.77,-0.47
EV/EBITDA Ratio,23.06,1.42,5.02,13.42,12.78,-3.18,-0.66
EV/EBIT Ratio,23.17,1.43,5.02,13.42,12.78,-3.19,-0.66
EV/FCF Ratio,76.09,4.69,12.53,6.25,22.42,650.37,-4.53
Debt / Equity Ratio,0.03,0.03,0.13,0.04,0.06,0.12,0.16
Debt / EBITDA Ratio,0.13,0.13,0.42,0.36,0.38,0.58,0.48
Debt / FCF Ratio,0.43,0.43,1.04,0.17,0.66,-119.13,3.32
Current Ratio,13.95,13.95,5.03,12.13,7.63,1.89,1.86
Asset Turnover,0.19,0.19,0.16,0.12,0.24,0.07,0.23
Return on Equity (ROE),22.70%,22.70%,18.40%,14.40%,19.80%,19.40%,45.10%
Return on Assets (ROA),14.80%,14.80%,12.70%,11.30%,12.20%,7.10%,12.80%
Return on Capital (ROIC),20.30%,20.30%,15.50%,11.20%,21.20%,16.80%,37.00%
Earnings Yield,3.82%,41.77%,18.05%,8.44%,5.89%,-,-
FCF Yield,1.27%,13.92%,7.94%,15.78%,3.92%,-,-
Buyback Yield / Dilution,-53.74%,-53.74%,-,-6.48%,-,-,-
Total Shareholder Return,-53.74%,-53.74%,-,-6.48%,-,-,-
