Year,Current,2022,2021,2020,2019
Market Capitalization,51,67,72,-,-
Market Cap Growth,-,-7.10%,-,-,-
Enterprise Value,32,63,40,-16,7
PE Ratio,110.90,373.24,37.76,-,-
PS Ratio,5.54,7.57,7.10,-,-
PB Ratio,0.59,0.76,0.73,-,-
P/FCF Ratio,92.47,129.20,37.26,-,-
P/OCF Ratio,64.81,87.02,21.10,-,-
EV/Sales Ratio,3.53,7.09,3.97,-2.42,0.89
EV/EBITDA Ratio,38.75,103.64,14.33,19.77,3.63
EV/EBIT Ratio,79.91,395.65,16.86,13.94,4.28
EV/FCF Ratio,58.98,120.98,20.84,-50.33,-12.31
Debt / Equity Ratio,0.11,0.10,0.09,0.17,0.49
Debt / EBITDA Ratio,11.12,15.15,3.19,-10.65,12.80
Debt / FCF Ratio,16.93,17.69,4.65,27.11,-43.40
Asset Turnover,0.03,0.03,0.04,0.03,-
Return on Equity (ROE),0.40%,0.20%,3.00%,-1.40%,-
Return on Assets (ROA),0.10%,0.10%,0.70%,-0.30%,-
Return on Capital (ROIC),0.20%,0.10%,1.10%,-0.50%,-
Earnings Yield,0.76%,0.27%,2.65%,-,-
FCF Yield,1.08%,0.77%,2.68%,-,-
Buyback Yield / Dilution,4.37%,-,-,-,-
Total Shareholder Return,4.37%,-,-,-,-
