Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,"1,327","2,917","4,052","2,375",996,-,-
Market Cap Growth,-,-28.01%,70.63%,138.46%,-,-,-
Enterprise Value,"2,494","4,091","4,807","2,614",965,65,21
PE Ratio,-37.52,-69.83,-132.22,-151.29,-115.13,-,-
PS Ratio,1.22,2.97,7.14,9.86,7.23,-,-
PB Ratio,2.14,4.80,6.66,6.46,13.59,-,-
P/FCF Ratio,-80.43,-119.35,116.41,75.75,96.72,-,-
P/OCF Ratio,-226.31,-1184.80,100.98,64.50,82.89,-,-
EV/Sales Ratio,2.33,4.17,8.47,10.85,7.00,0.81,0.44
EV/EBITDA Ratio,24.23,35.15,100.60,212.13,76.87,7.12,2.94
EV/EBIT Ratio,234.70,136.28,-1289.37,-333.26,480.89,10.79,3.67
EV/FCF Ratio,-112.96,-167.37,138.09,83.39,93.74,5.75,2.79
Debt / Equity Ratio,2.28,2.31,1.61,1.04,0.55,-1.14,-0.60
Debt / EBITDA Ratio,13.42,12.07,20.56,30.95,3.21,8.00,3.39
Debt / FCF Ratio,-37.61,-57.45,28.23,12.17,3.92,6.46,3.21
Current Ratio,1.01,1.11,1.07,1.39,1.83,1.16,0.69
Asset Turnover,0.31,0.30,0.27,0.27,0.51,0.86,-
Return on Equity (ROE),-12.50%,-6.50%,-6.30%,-7.00%,-180.40%,1.20%,-
Return on Assets (ROA),-2.30%,-1.30%,-1.50%,-1.80%,-3.20%,-0.70%,-
Return on Capital (ROIC),0.70%,2.20%,-0.70%,-4.50%,3.50%,12.70%,-
Earnings Yield,-6.07%,-1.43%,-0.76%,-0.66%,-0.87%,-,-
FCF Yield,-2.83%,-0.84%,0.86%,1.32%,1.03%,-,-
Buyback Yield / Dilution,0.01%,-19.41%,-75.11%,-51.68%,69.93%,-,-
Total Shareholder Return,0.01%,-19.41%,-75.11%,-51.68%,69.93%,-,-
