Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2008
Market Capitalization,"2,293","2,591","4,834","2,874","1,993","1,351","1,476",961,881,579,564,Upgrade
Market Cap Growth,-,-46.40%,68.22%,44.16%,47.53%,-8.44%,53.53%,9.14%,52.22%,2.57%,-2.21%,Upgrade
Enterprise Value,"3,895","3,589","7,167","5,342","3,064","2,698","2,379","2,987","3,552","1,835",934,Upgrade
PE Ratio,13.69,12.12,18.19,11.67,11.50,8.37,6.99,8.44,10.72,11.25,13.58,Upgrade
PS Ratio,1.95,2.06,3.84,2.65,2.44,1.86,2.07,1.67,1.88,1.60,1.77,Upgrade
PB Ratio,1.36,1.53,3.12,2.40,1.93,1.50,1.82,1.58,1.81,1.34,1.40,Upgrade
P/FCF Ratio,44.68,1.66,5.61,-2.03,4.71,22.76,1.39,1.27,-0.66,-0.82,0.68,Upgrade
P/OCF Ratio,35.80,1.64,5.55,-2.04,4.66,21.09,1.38,1.27,-0.66,-0.82,0.67,Upgrade
EV/Sales Ratio,3.31,2.85,5.69,4.93,3.75,3.72,3.34,5.19,7.59,5.09,2.93,Upgrade
EV/EBITDA Ratio,7.92,6.66,12.56,10.51,7.71,7.38,6.36,9.74,14.62,10.52,6.38,Upgrade
EV/EBIT Ratio,15.21,11.80,19.90,15.76,12.51,12.07,9.80,15.30,24.53,19.47,13.25,Upgrade
EV/FCF Ratio,75.82,2.30,8.32,-3.78,7.25,45.45,2.24,3.95,-2.65,-2.60,1.12,Upgrade
Debt / Equity Ratio,1.07,0.73,1.73,2.35,1.16,1.62,1.36,3.53,5.77,3.19,1.36,Upgrade
Debt / EBITDA Ratio,3.68,2.30,4.70,5.53,3.02,3.99,2.95,7.03,11.58,7.93,3.73,Upgrade
Debt / FCF Ratio,35.21,0.80,3.11,-1.99,2.84,24.55,1.04,2.85,-2.10,-1.96,0.66,Upgrade
Asset Turnover,0.25,0.27,0.29,0.25,0.28,0.27,0.24,0.22,0.19,0.23,0.29,Upgrade
Return on Equity (ROE),10.10%,13.00%,19.50%,22.20%,17.70%,18.50%,29.70%,20.60%,18.20%,12.80%,10.80%,Upgrade
Return on Assets (ROA),3.50%,4.50%,6.10%,5.80%,6.00%,5.90%,7.10%,4.40%,3.30%,3.30%,3.80%,Upgrade
Return on Capital (ROIC),4.70%,5.60%,6.10%,5.40%,5.90%,5.60%,5.10%,4.70%,3.60%,3.90%,4.80%,Upgrade
Earnings Yield,7.38%,8.25%,5.50%,8.57%,8.70%,11.95%,14.31%,11.85%,9.33%,8.89%,7.36%,Upgrade
FCF Yield,2.24%,60.24%,17.82%,-49.22%,21.21%,4.39%,72.00%,78.76%,-152.18%,-121.96%,147.59%,Upgrade
Dividend Yield,3.58%,3.03%,1.30%,1.56%,1.86%,2.32%,-,-,-,-,-,Upgrade
Payout Ratio,47.70%,37.30%,24.20%,18.30%,21.40%,19.40%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,-0.61%,-3.66%,-1.45%,-0.87%,1.81%,0.01%,-2.78%,1.33%,5.13%,4.99%,-32.85%,Upgrade
Total Shareholder Return,2.92%,-0.63%,-0.14%,0.69%,3.67%,2.33%,-2.78%,1.33%,5.13%,4.99%,-32.85%,Upgrade
