Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,354,556,577,421,331,279,-,-,-,-,-
Market Cap Growth,-,-3.70%,37.18%,27.12%,18.45%,-,-,-,-,-,-
Enterprise Value,942,948,469,203,366,234,-36,9,11,-12,-4
PE Ratio,5.73,10.51,11.07,14.03,13.93,19.83,-,-,-,-,-
PS Ratio,1.53,2.55,3.18,3.05,3.75,4.13,-,-,-,-,-
PB Ratio,0.59,0.96,1.33,1.03,1.16,1.08,-,-,-,-,-
P/FCF Ratio,5.27,8.99,11.00,15.96,16.18,15.22,-,-,-,-,-
P/OCF Ratio,4.84,7.99,10.23,14.34,13.56,14.50,-,-,-,-,-
EV/Sales Ratio,4.07,4.35,2.58,1.48,4.15,3.46,-0.78,0.21,0.31,-0.48,-0.17
EV/EBITDA Ratio,11.53,12.91,6.83,5.09,11.65,12.61,-3.54,1.11,1.64,-1.91,-0.64
EV/EBIT Ratio,12.26,13.82,7.27,5.53,12.27,13.46,-4.01,1.33,1.99,-2.19,-0.74
EV/FCF Ratio,14.04,15.33,8.95,7.72,17.90,12.74,-4.81,1.31,4.59,-1.77,-0.54
Debt / Equity Ratio,1.43,0.96,0.43,0.26,0.65,0.35,0.45,0.47,0.49,0.19,0.21
Debt / EBITDA Ratio,10.43,7.63,2.73,2.65,5.92,4.97,7.95,6.69,8.01,2.42,2.26
Debt / FCF Ratio,12.70,9.06,3.58,4.02,9.09,5.02,10.79,7.86,22.41,2.25,1.90
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,-
Return on Equity (ROE),10.90%,10.60%,12.20%,8.10%,8.60%,6.50%,3.60%,4.40%,3.90%,5.30%,-
Return on Assets (ROA),1.00%,0.90%,1.20%,0.80%,1.10%,0.80%,0.40%,0.50%,0.40%,0.60%,-
Return on Capital (ROIC),1.20%,1.20%,1.50%,1.00%,1.40%,1.00%,0.70%,0.60%,0.60%,0.80%,-
Earnings Yield,16.35%,9.52%,9.03%,7.13%,7.18%,5.04%,-,-,-,-,-
FCF Yield,18.97%,11.12%,9.09%,6.27%,6.18%,6.57%,-,-,-,-,-
Dividend Yield,3.44%,2.17%,1.62%,1.96%,1.52%,0.99%,-,-,-,-,-
Payout Ratio,19.50%,20.50%,18.10%,24.20%,21.20%,18.90%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-23.09%,-23.13%,1.35%,-55.65%,-15.12%,-12.72%,-45.30%,-0.09%,-32.38%,-,-
Total Shareholder Return,-19.65%,-20.96%,2.97%,-53.69%,-13.60%,-11.73%,-45.30%,-0.09%,-32.38%,-,-
