Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Market Capitalization,113,122,131,146,132,167,159,115,108,105,89,Upgrade
Market Cap Growth,-,-7.17%,-10.51%,10.84%,-21.04%,5.26%,38.18%,6.17%,2.69%,18.36%,7.90%,Upgrade
Enterprise Value,147,121,115,117,114,172,138,87,82,94,51,Upgrade
PE Ratio,24.86,29.64,32.20,37.85,35.47,55.06,28.74,21.90,23.99,28.96,22.04,Upgrade
PS Ratio,6.61,7.16,7.77,8.70,7.89,9.95,8.94,6.13,6.70,8.79,7.44,Upgrade
PB Ratio,1.53,1.61,1.49,1.66,1.49,1.97,1.85,1.35,1.34,1.37,1.17,Upgrade
P/FCF Ratio,21.76,22.12,28.03,45.07,36.12,29.27,26.70,14.46,20.44,24.44,14.50,Upgrade
P/OCF Ratio,21.07,21.29,26.56,28.72,24.28,26.20,25.91,14.10,18.89,23.61,14.34,Upgrade
EV/Sales Ratio,8.62,7.12,6.84,6.94,6.83,10.23,7.77,4.65,5.08,7.79,4.27,Upgrade
EV/EBITDA Ratio,23.47,17.98,16.36,19.22,19.90,28.35,16.39,10.21,9.91,14.18,6.70,Upgrade
EV/EBIT Ratio,28.13,23.81,22.47,24.49,24.87,36.23,19.71,11.99,11.39,16.44,7.90,Upgrade
EV/FCF Ratio,28.40,21.98,24.68,35.95,31.28,30.07,23.21,10.98,15.49,21.69,8.32,Upgrade
Debt / Equity Ratio,0.57,0.12,0.17,0.06,0.22,0.17,-,-,-,-,-,Upgrade
Debt / EBITDA Ratio,6.71,1.34,2.13,0.82,3.31,2.39,-,-,-,-,-,Upgrade
Debt / FCF Ratio,8.12,1.64,3.21,1.54,5.20,2.54,-,-,-,-,-,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,Upgrade
Return on Equity (ROE),5.70%,5.00%,4.60%,4.40%,4.30%,3.60%,6.50%,6.30%,5.70%,4.80%,5.00%,Upgrade
Return on Assets (ROA),0.70%,0.80%,0.80%,0.80%,0.70%,0.60%,1.10%,1.10%,1.00%,1.00%,1.10%,Upgrade
Return on Capital (ROIC),0.90%,1.00%,1.00%,1.00%,0.90%,1.00%,1.50%,1.60%,1.70%,1.70%,2.00%,Upgrade
Earnings Yield,3.65%,3.37%,3.11%,2.64%,2.82%,1.82%,3.48%,4.57%,4.17%,3.45%,4.54%,Upgrade
FCF Yield,4.60%,4.52%,3.57%,2.22%,2.77%,3.42%,3.74%,6.92%,4.89%,4.09%,6.89%,Upgrade
Dividend Yield,2.17%,1.85%,1.71%,1.55%,1.74%,1.38%,1.45%,2.04%,2.17%,2.21%,2.70%,Upgrade
Payout Ratio,54.80%,54.80%,54.80%,58.80%,61.50%,75.50%,41.20%,44.00%,50.60%,62.50%,59.70%,Upgrade
Buyback Yield / Dilution,-0.52%,-0.20%,1.36%,1.29%,0.43%,-0.02%,1.67%,0.18%,-0.79%,2.94%,5.29%,Upgrade
Total Shareholder Return,1.66%,1.65%,3.07%,2.84%,2.18%,1.36%,3.12%,2.23%,1.38%,5.15%,7.99%,Upgrade
