Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,46,66,93,29,27,24,23,26,43,54,33,Upgrade
Market Cap Growth,-,-28.89%,226.10%,4.30%,12.31%,5.61%,-11.01%,-39.32%,-21.34%,66.46%,-51.64%,Upgrade
Enterprise Value,10,31,71,20,17,9,6,9,24,31,10,Upgrade
PE Ratio,12.36,12.05,2.91,-6.10,-8.08,37.69,-45.00,-7.06,-10.61,-56.04,-168.34,Upgrade
PS Ratio,2.04,2.68,4.30,6.38,7.92,3.89,3.41,4.71,5.83,6.37,1.89,Upgrade
PB Ratio,0.83,1.17,1.72,1.70,1.26,0.96,0.97,1.06,1.50,1.55,0.89,Upgrade
P/FCF Ratio,5.05,6.42,19.85,-14.63,-25.47,-717.14,33.46,8.59,-60.06,-3.57,77.39,Upgrade
P/OCF Ratio,4.94,6.29,19.54,-14.63,-25.47,-717.14,33.46,8.55,-63.63,-3.58,70.84,Upgrade
EV/Sales Ratio,0.44,1.25,3.30,4.43,4.82,1.41,0.95,1.61,3.22,3.59,0.57,Upgrade
EV/EBITDA Ratio,2.45,4.62,1.89,-4.25,-4.02,8.11,-26.57,-2.63,-8.20,-25.83,54.23,Upgrade
EV/EBIT Ratio,2.24,4.35,1.91,-4.08,-3.82,10.43,-13.02,-2.40,-7.36,-21.20,-104.41,Upgrade
EV/FCF Ratio,1.08,2.99,15.22,-10.15,-15.51,-258.96,9.36,2.93,-33.16,-2.01,23.26,Upgrade
Debt / Equity Ratio,0.00,0.00,0.00,0.03,-,-,-,-,-,-,-,Upgrade
Debt / EBITDA Ratio,0.02,0.01,0.00,-0.11,-,-,-,-,-,-,-,Upgrade
Debt / FCF Ratio,0.01,0.01,0.01,-0.27,-,-,-,-,-,-,-,Upgrade
Current Ratio,10.63,9.20,5.20,5.25,9.14,9.66,14.98,13.98,13.15,12.51,13.52,Upgrade
Asset Turnover,0.37,0.40,0.45,0.24,0.14,0.17,0.26,0.20,0.22,0.23,0.43,Upgrade
Return on Equity (ROE),5.70%,9.60%,78.40%,-28.00%,-15.30%,2.00%,-2.10%,-14.50%,-12.80%,-2.70%,-0.50%,Upgrade
Return on Assets (ROA),5.20%,8.80%,66.60%,-25.20%,-13.90%,1.80%,-2.00%,-13.50%,-12.00%,-2.60%,-0.50%,Upgrade
Return on Capital (ROIC),13.40%,20.70%,123.30%,-34.20%,-24.60%,2.90%,-2.40%,-16.90%,-11.50%,-5.30%,-0.50%,Upgrade
Earnings Yield,7.01%,8.30%,34.31%,-16.40%,-12.37%,2.65%,-2.22%,-14.16%,-9.42%,-1.78%,-0.59%,Upgrade
FCF Yield,19.79%,15.57%,5.04%,-6.83%,-3.93%,-0.14%,2.99%,11.64%,-1.67%,-28.00%,1.29%,Upgrade
Dividend Yield,3.32%,1.88%,0.70%,1.59%,1.60%,1.87%,1.98%,2.18%,2.16%,1.71%,8.06%,Upgrade
Payout Ratio,40.90%,22.40%,2.00%,-9.70%,-13.20%,75.00%,-100.00%,-15.40%,-23.10%,-100.00%,-1700.00%,Upgrade
Buyback Yield / Dilution,0.55%,0.38%,0.27%,0.20%,0.13%,0.35%,0.54%,0.68%,0.38%,0.15%,-0.27%,Upgrade
Total Shareholder Return,3.85%,2.26%,0.96%,1.78%,1.73%,2.22%,2.52%,2.86%,2.54%,1.86%,7.79%,Upgrade
