Year,Current,2022,2021,2020,2019
Market Capitalization,"11,362","15,440","14,888",-,-
Market Cap Growth,-,3.71%,-,-,-
Enterprise Value,"12,761","16,605","16,184","1,376",617
PE Ratio,76.46,252.91,226.01,-,-
PS Ratio,6.30,8.95,10.39,-,-
PB Ratio,22.26,32.28,43.31,-,-
P/FCF Ratio,50.06,48.18,56.46,-,-
P/OCF Ratio,46.83,46.02,54.44,-,-
EV/Sales Ratio,7.11,9.62,11.30,1.35,0.81
EV/EBITDA Ratio,40.46,57.04,61.57,7.18,3.91
EV/EBIT Ratio,61.77,91.33,107.78,11.07,5.90
EV/FCF Ratio,56.43,51.81,61.37,11.20,3.99
Debt / Equity Ratio,4.22,4.51,4.90,24.20,-8.88
Debt / EBITDA Ratio,6.80,7.41,6.40,8.81,4.24
Debt / FCF Ratio,9.48,6.73,6.38,13.74,4.33
Current Ratio,1.25,1.24,1.03,1.00,1.00
Asset Turnover,0.29,0.29,0.30,0.30,-
Return on Equity (ROE),14.60%,14.30%,41.40%,-2436.60%,-
Return on Assets (ROA),1.10%,1.00%,1.40%,2.00%,-
Return on Capital (ROIC),7.80%,7.10%,8.30%,10.90%,-
Earnings Yield,0.59%,0.40%,0.44%,-,-
FCF Yield,2.00%,2.08%,1.77%,-,-
Buyback Yield / Dilution,-4.17%,-151.35%,58.64%,-,-
Total Shareholder Return,-4.17%,-151.35%,58.64%,-,-
