Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,"1,154","1,541",713,634,810,763,743,-,-
Market Cap Growth,-,116.14%,12.47%,-21.72%,6.07%,2.75%,-,-,-
Enterprise Value,"1,239","1,342",154,162,504,385,424,-346,-395
PE Ratio,12.44,29.96,8.74,13.92,16.03,16.14,26.94,-,-
PS Ratio,3.39,5.96,2.98,3.46,5.32,5.43,6.07,-,-
PB Ratio,0.80,1.11,0.87,1.16,1.51,1.57,1.67,-,-
P/FCF Ratio,7.56,14.32,6.71,10.94,15.10,15.89,19.77,-,-
P/OCF Ratio,7.61,14.13,6.64,10.38,14.43,15.48,20.87,-,-
EV/Sales Ratio,3.64,5.19,0.64,0.88,3.31,2.74,3.47,-3.07,-3.73
EV/EBITDA Ratio,10.47,17.48,1.43,2.55,7.46,6.12,8.76,-7.93,-9.92
EV/EBIT Ratio,12.81,21.47,1.54,2.90,8.11,6.57,9.64,-8.82,-11.32
EV/FCF Ratio,8.11,12.48,1.45,2.80,9.40,8.02,11.29,-9.22,-13.16
Debt / Equity Ratio,0.24,0.13,0.24,0.12,0.12,0.01,0.02,0.10,0.12
Debt / EBITDA Ratio,2.94,2.26,1.85,1.04,0.98,0.06,0.17,0.84,1.00
Debt / FCF Ratio,2.28,1.61,1.87,1.15,1.23,0.08,0.22,0.98,1.33
Asset Turnover,0.05,0.04,0.05,0.05,0.05,0.04,0.04,0.04,-
Return on Equity (ROE),8.10%,7.00%,13.10%,8.40%,9.70%,10.10%,6.90%,7.80%,-
Return on Assets (ROA),1.00%,0.90%,1.70%,1.20%,1.50%,1.50%,0.90%,0.90%,-
Return on Capital (ROIC),1.40%,1.20%,2.50%,1.70%,2.00%,2.10%,1.70%,1.60%,-
Earnings Yield,6.76%,3.34%,11.44%,7.18%,6.24%,6.20%,3.71%,-,-
FCF Yield,13.23%,6.98%,14.90%,9.14%,6.62%,6.29%,5.06%,-,-
Dividend Yield,2.40%,1.77%,1.79%,1.57%,1.29%,0.68%,0.17%,-,-
Payout Ratio,29.70%,35.10%,18.20%,25.50%,19.70%,10.50%,4.10%,0.00%,0.00%
Buyback Yield / Dilution,-115.27%,-112.77%,1.07%,4.50%,-0.21%,-3.66%,-2.38%,-,-
Total Shareholder Return,-112.87%,-111.00%,2.86%,6.07%,1.07%,-2.98%,-2.21%,-,-
