Year,Current,2022,2021,2020,2019
Market Capitalization,678,856,"1,191",356,-
Market Cap Growth,-,-28.19%,234.93%,-,-
Enterprise Value,733,847,730,230,-50
PE Ratio,201.25,47.86,-126.47,-14.61,-
PS Ratio,1.10,1.36,1.49,0.69,-
PB Ratio,5.04,6.22,9.43,4.80,-
P/FCF Ratio,12.29,-19.30,5.10,4.43,-
P/OCF Ratio,6.85,-48.14,5.07,4.14,-
EV/Sales Ratio,1.20,1.34,0.91,0.44,-0.09
EV/EBITDA Ratio,17.31,15.37,14.91,8.38,0.43
EV/EBIT Ratio,43.95,29.74,42.67,-44.68,0.34
EV/FCF Ratio,13.41,-19.11,3.13,2.86,0.44
Debt / Equity Ratio,1.27,1.20,0.34,2.77,2.64
Debt / EBITDA Ratio,3.98,3.00,0.89,7.47,-1.87
Debt / FCF Ratio,3.09,-3.74,0.19,2.55,-1.90
Current Ratio,-,-,-,1.81,0.25
Asset Turnover,1.01,1.07,1.32,0.97,2.03
Return on Equity (ROE),2.80%,12.80%,-8.10%,-31.20%,-400.50%
Return on Assets (ROA),0.60%,3.00%,-1.60%,-4.60%,-62.50%
Return on Capital (ROIC),3.10%,6.10%,6.70%,-1.40%,-74.10%
Earnings Yield,0.57%,2.09%,-0.79%,-6.84%,-
FCF Yield,8.14%,-5.18%,19.59%,22.60%,-
Dividend Yield,3.55%,2.94%,1.09%,-,-
Payout Ratio,233.30%,68.30%,-63.60%,-,-
Buyback Yield / Dilution,7.10%,3.23%,-206.31%,-340.76%,-
Total Shareholder Return,10.69%,6.17%,-205.22%,-340.76%,-
