Year,Current,2022,2021
Market Capitalization,138,133,91
Market Cap Growth,-,46.83%,-
Enterprise Value,139,134,90
PE Ratio,-2795.57,-2795.57,-685.84
PB Ratio,-30.72,-30.72,-37.31
P/FCF Ratio,-193.15,-193.15,-327.46
P/OCF Ratio,-193.15,-193.15,-327.46
EV/EBITDA Ratio,450.63,434.71,-679.43
EV/EBIT Ratio,450.63,434.71,-679.43
EV/FCF Ratio,-193.97,-193.97,-324.40
Debt / Equity Ratio,-0.17,-0.17,-
Debt / EBITDA Ratio,2.39,2.39,-
Debt / FCF Ratio,-1.06,-1.06,-
Current Ratio,0.14,0.14,23.43
Return on Equity (ROE),1.50%,1.50%,-
Return on Capital (ROIC),0.30%,0.30%,-
Earnings Yield,-0.03%,-0.04%,-0.15%
FCF Yield,-0.50%,-0.52%,-0.31%
Buyback Yield / Dilution,-494.64%,-494.64%,-
Total Shareholder Return,-494.64%,-494.64%,-
