Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,496,437,424,277,358,583,516,597,331,531,914,Upgrade
Market Cap Growth,-,2.94%,53.20%,-22.61%,-38.59%,12.98%,-13.60%,80.36%,-37.66%,-41.93%,-22.11%,Upgrade
Enterprise Value,644,558,463,287,228,482,434,606,313,614,910,Upgrade
PE Ratio,21.32,8.71,49.27,-4.05,140.85,15.63,16.42,-7.39,-3.71,-7.84,40.99,Upgrade
PS Ratio,0.51,0.49,0.58,0.34,0.42,0.72,0.69,0.82,0.46,0.71,1.13,Upgrade
PB Ratio,0.70,0.63,0.63,0.43,0.48,0.79,0.78,1.00,0.51,0.64,1.02,Upgrade
P/FCF Ratio,11.57,12.61,18.58,13.48,5.53,12.01,20.10,10.88,5.95,8.51,12.40,Upgrade
P/OCF Ratio,6.00,6.57,9.14,5.64,3.46,6.55,10.18,8.77,4.17,7.11,7.59,Upgrade
EV/Sales Ratio,0.66,0.63,0.63,0.35,0.27,0.59,0.58,0.83,0.43,0.82,1.12,Upgrade
EV/EBITDA Ratio,4.44,3.45,3.94,9.95,3.43,4.42,4.62,-23.07,-6.28,-36.72,11.03,Upgrade
EV/EBIT Ratio,11.11,7.19,12.10,-6.03,6.06,5.77,6.18,-11.03,-3.60,-11.10,19.12,Upgrade
EV/FCF Ratio,15.01,16.12,20.26,13.97,3.52,9.93,16.93,11.04,5.62,9.85,12.33,Upgrade
Debt / Equity Ratio,0.85,0.79,0.71,0.70,0.32,0.56,0.43,0.48,0.30,0.51,0.28,Upgrade
Debt / EBITDA Ratio,4.17,3.37,4.07,15.74,3.59,3.83,3.03,-10.80,-3.98,-25.62,3.00,Upgrade
Debt / FCF Ratio,14.09,15.76,20.92,22.09,3.69,8.59,11.10,5.17,3.56,6.87,3.35,Upgrade
Current Ratio,4.72,4.21,3.94,4.48,6.65,2.88,8.01,5.08,2.46,4.28,3.62,Upgrade
Asset Turnover,0.71,0.67,0.60,0.67,0.73,0.71,0.76,0.70,0.55,0.53,0.61,Upgrade
Return on Equity (ROE),4.20%,7.40%,1.30%,-9.90%,0.30%,5.30%,5.00%,-13.40%,-11.60%,-7.50%,2.40%,Upgrade
Return on Assets (ROA),2.10%,3.80%,0.70%,-5.50%,0.20%,3.20%,3.20%,-7.80%,-6.80%,-4.80%,1.70%,Upgrade
Return on Capital (ROIC),4.70%,6.90%,4.20%,-4.70%,5.20%,11.00%,9.10%,-6.80%,-8.70%,-5.20%,5.40%,Upgrade
Earnings Yield,5.94%,11.48%,2.03%,-24.72%,0.71%,6.40%,6.09%,-13.52%,-26.94%,-12.75%,2.44%,Upgrade
FCF Yield,8.64%,7.93%,5.38%,7.42%,18.07%,8.32%,4.98%,9.19%,16.82%,11.75%,8.07%,Upgrade
Buyback Yield / Dilution,32.47%,-47.28%,-1.15%,1.20%,3.30%,-6.49%,0.11%,-0.11%,-0.41%,-0.76%,-5.09%,Upgrade
Total Shareholder Return,32.47%,-47.28%,-1.15%,1.20%,3.30%,-6.49%,0.11%,-0.11%,-0.41%,-0.76%,-5.09%,Upgrade
