Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,273,641,"1,134",301,401,253,345,-,-
Market Cap Growth,-,-43.44%,277.07%,-25.06%,58.48%,-26.65%,-,-,-
Enterprise Value,379,662,"-1,148",-481,244,250,171,-5,51
PE Ratio,3.88,10.79,18.73,7.62,13.32,9.91,27.91,-,-
PS Ratio,0.98,2.61,6.41,2.27,3.86,3.16,6.13,-,-
PB Ratio,0.42,1.11,2.04,0.88,1.34,0.96,1.46,-,-
P/FCF Ratio,3.37,9.62,34.07,3.61,12.49,10.09,11.80,-,-
P/OCF Ratio,2.71,7.47,30.42,3.45,10.30,9.36,10.97,-,-
EV/Sales Ratio,1.46,2.70,-6.49,-3.63,2.35,3.12,3.04,-0.13,1.71
EV/EBITDA Ratio,3.48,6.54,-12.13,-7.70,5.35,6.57,6.98,-0.51,6.79
EV/EBIT Ratio,3.62,6.83,-12.81,-8.31,5.54,6.81,7.26,-0.56,7.49
EV/FCF Ratio,5.00,9.94,-34.48,-5.77,7.60,9.98,5.85,-0.34,13.78
Debt / Equity Ratio,0.70,0.48,0.14,0.24,0.78,0.87,0.37,0.72,1.54
Debt / EBITDA Ratio,3.89,2.75,0.82,1.32,5.08,6.04,3.56,8.87,15.52
Debt / FCF Ratio,5.59,4.18,2.34,0.99,7.23,9.17,2.98,5.86,31.47
Asset Turnover,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.03,-
Return on Equity (ROE),11.20%,10.40%,13.40%,12.20%,10.50%,10.10%,7.10%,5.40%,-
Return on Assets (ROA),1.00%,0.90%,1.00%,1.00%,1.00%,1.30%,0.80%,0.50%,-
Return on Capital (ROIC),1.70%,1.70%,2.10%,1.70%,1.60%,2.00%,1.70%,0.70%,-
Earnings Yield,25.70%,9.27%,5.34%,13.12%,7.51%,10.09%,3.58%,-,-
FCF Yield,29.70%,10.39%,2.94%,27.72%,8.00%,9.91%,8.48%,-,-
Buyback Yield / Dilution,-0.27%,-2.70%,-28.38%,0.34%,-1.37%,-0.09%,-6.04%,-,-
Total Shareholder Return,-0.27%,-2.70%,-28.38%,0.34%,-1.37%,-0.09%,-6.04%,-,-
