Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,110,157,149,117,-,-,-
Market Cap Growth,-,5.53%,27.05%,-,-,-,-
Enterprise Value,201,246,132,144,-28,54,71
PE Ratio,16.51,22.86,19.81,56.68,-,-,-
PS Ratio,4.75,6.61,6.24,8.08,-,-,-
PB Ratio,0.79,1.13,1.01,0.91,-,-,-
P/FCF Ratio,30.67,14.81,33.07,28.90,-,-,-
P/OCF Ratio,28.40,14.48,24.99,20.20,-,-,-
EV/Sales Ratio,8.69,10.34,5.52,9.91,-2.35,3.93,4.91
EV/EBITDA Ratio,22.00,25.22,14.56,51.73,-7.72,9.32,10.28
EV/EBIT Ratio,22.67,25.90,14.03,57.35,-8.41,9.85,10.84
EV/FCF Ratio,56.11,23.16,29.26,35.42,-11.42,14.89,12.61
Debt / Equity Ratio,0.83,0.76,0.60,0.83,1.34,1.09,1.37
Debt / EBITDA Ratio,12.66,10.82,9.71,38.46,28.06,13.52,13.56
Debt / FCF Ratio,32.28,9.94,19.51,26.34,41.53,21.60,16.63
Asset Turnover,0.03,0.03,0.03,0.02,0.02,0.02,-
Return on Equity (ROE),4.60%,4.90%,5.20%,1.60%,3.30%,5.90%,-
Return on Assets (ROA),0.70%,0.80%,0.90%,0.30%,0.30%,0.60%,-
Return on Capital (ROIC),0.90%,1.00%,1.10%,0.30%,0.40%,0.80%,-
Earnings Yield,5.89%,4.38%,5.05%,1.76%,-,-,-
FCF Yield,3.26%,6.75%,3.02%,3.46%,-,-,-
Buyback Yield / Dilution,5.93%,2.31%,-14.19%,7.50%,-,-,-
Total Shareholder Return,5.93%,2.31%,-14.19%,7.50%,-,-,-
