Year,Current,2022,2021
Market Capitalization,48,45,129
Market Cap Growth,-,-65.01%,-
Enterprise Value,49,46,128
PE Ratio,-13.87,-13.87,-457.89
PB Ratio,-6.06,-6.06,-38.55
P/FCF Ratio,-32.33,-32.33,-214.17
P/OCF Ratio,-32.33,-32.33,-214.17
EV/EBITDA Ratio,-15.68,-15.68,-455.33
EV/EBIT Ratio,-15.68,-15.68,-455.33
EV/FCF Ratio,-33.01,-33.01,-212.98
Debt / Equity Ratio,-0.14,-0.14,-0.01
Debt / EBITDA Ratio,-0.36,-0.36,-0.16
Debt / FCF Ratio,-0.76,-0.76,-0.07
Current Ratio,0.03,0.03,6.62
Return on Equity (ROE),60.60%,60.60%,-
Return on Assets (ROA),-3.60%,-3.60%,-
Return on Capital (ROIC),-3.30%,-3.30%,-
Earnings Yield,-6.77%,-7.21%,-0.22%
FCF Yield,-2.90%,-3.09%,-0.47%
Buyback Yield / Dilution,-220.05%,-220.05%,-
Total Shareholder Return,-220.05%,-220.05%,-
